Feature Source,Feature Row Count,Source Year Coverage,Target Key Coverage,Missing Value Count,Maximum Data Age,Preparation Decision
hh_income_state,112,"1970, 1974, 1976, 1979, 1984, 1987, 1989, 1992, 1995, 1997, 1999, 2002, 2004, 2007, 2009, 2012, 2014, 2016, 2019, 2020, 2022",112,0,2,Used latest available income year less than or equal to each input year
hh_poverty_state,112,"1970, 1976, 1979, 1984, 1987, 1989, 1992, 1995, 1997, 1999, 2002, 2004, 2007, 2009, 2012, 2014, 2016, 2019, 2020, 2022",112,0,2,Used latest available poverty year less than or equal to each input year
