Audit Item,Value
Prepared completion source rows,1071
Malaysia benchmark rows,63
State target-panel rows,1008
Minimum input year,2016
Maximum input year,2022
State count,16
Stage count,3
Sex count,3
Missing benchmark count,0
Missing next-year target count,144
Evaluable supervised-row count,864
Forecast-candidate-row count,144
