Check,Value,Status
Core baseline count,2,Pass
Additional rule baseline count,4,Pass
Combined baseline count,6,Pass
SVR model used in this comparison,False,Pass
Held-out test year used for fitting baselines,False,Pass
Forecast-candidate year used for fitting baselines,False,Pass
