Feature Set,Mean_MAE,Mean_RMSE,Mean_R2
autoregressive_categorical_education,2.6809991522228813,4.386419113514766,-0.0829246903435809
autoregressive_plus_categorical,2.6913688273165306,4.3943675982945285,-0.08624242551624854
full_feature_set,2.729549786328221,4.442348472906004,-0.11870393546447311
full_without_economic,2.7579469367740406,4.46594195181236,-0.12928333462234912
autoregressive_only,2.7703647475187267,4.481552726077132,-0.12839520974422905
