sex,Row Count,Mean Actual Target,Mean Predicted Target,Mean Residual,MAE,RMSE,Median Absolute Error,Maximum Absolute Error,Within 2 Percentage Points
male,48,99.125,96.05219018393886,3.072809816061144,3.399623603472504,3.9988088790906784,3.0293999855662506,9.056444545551045,27.083333333333332
female,48,99.81874999999998,97.36921104716362,2.4495389528363867,2.959315063744788,3.6935077454465866,2.462466085439381,9.697541440928532,41.66666666666667
