state,stage,sex,completion_rate,year,malaysia_completion_rate,completion_gap_from_malaysia,next_year_completion_rate,next_year_completion_gap_from_malaysia,target_year,target_delta,lag1_completion_rate,lag1_completion_gap_from_malaysia,completion_rate_change_1y,gap_change_1y,rolling2_completion_mean,rolling2_gap_mean,schools_total,students_total,teachers_total,students_per_teacher,students_per_school,teachers_per_school,schools_growth_1y,students_growth_1y,teachers_growth_1y,tfr,total_state_population,same_sex_total_population,same_sex_school_age_population,same_sex_school_age_share,log_population_total,is_federal_territory,is_small_population_state,households,living_quarters,households_per_living_quarter,living_quarters_per_household,log_households,income_mean,income_median,income_data_age,poverty_absolute,poverty_hardcore,poverty_relative,poverty_data_age
Johor,primary,female,99.48,2016,98.37,1.1099999999999994,99.71,1.6400000000000006,2017,0.22999999999998977,,,,,,,,,,,,,,,,2.09,3651.8,1720.7,438.70000000000005,0.12013253737882688,8.203249275775532,0,0,914700,1023400,0.8937854211452023,1.118836777085383,13.726352514898478,6928.0,5652.0,0,0.0,0.0,13.5,0
Johor,primary,female,99.71,2017,98.07,1.6400000000000006,98.2,0.5300000000000011,2018,-1.509999999999991,99.48,1.1099999999999994,0.22999999999998977,0.5300000000000011,,,906.0,326709.0,27087.0,12.061468601173996,360.60596026490066,29.897350993377483,,,,2.12,3697.0,1744.5,437.6,0.11836624289964837,8.21554741194707,0,0,932000,1039099,0.8969308987882771,1.1149130901287554,13.745089166628526,6928.0,5652.0,1,0.0,0.0,13.5,1
Johor,primary,female,98.2,2018,97.67,0.5300000000000011,98.2,0.20000000000000284,2019,0.0,99.71,1.6400000000000006,-1.509999999999991,-1.1099999999999994,99.595,1.375,907.0,328093.0,28311.0,11.588887711490234,361.7342888643881,31.213891951488424,0.001103752759381793,0.004236185718789587,0.04518772843061236,2.09,3749.4,1773.0,439.0,0.11708540033071958,8.22961777994264,0,0,949100,1054700,0.8998767422015739,1.1112633020756506,13.763270499747783,6928.0,5652.0,2,0.0,0.0,13.5,2
Johor,primary,female,98.2,2019,98.0,0.20000000000000284,98.9,0.5,2020,0.7000000000000028,98.2,0.5300000000000011,0.0,-0.3299999999999983,98.955,1.0850000000000009,907.0,331130.0,27640.0,11.980101302460202,365.08269018743107,30.47409040793826,0.0,0.009256521778885807,-0.02370103493341813,2.05,3761.2,1786.6,437.1,0.11621291077315751,8.23275917165892,0,0,966000,1070200,0.90263502149131,1.1078674948240166,13.780920148390807,8013.0,6427.0,3,3.9,0.2,15.3,3
Johor,primary,female,98.9,2020,98.4,0.5,99.7,0.7000000000000028,2021,0.7999999999999972,98.2,0.20000000000000284,0.7000000000000028,0.29999999999999716,98.2,0.365000000000002,906.0,331190.0,27795.0,11.91545241949991,365.55187637969095,30.678807947019866,-0.0011025358324145973,0.0001811977169088319,0.005607814761215524,1.94,4009.7,1868.4,479.29999999999995,0.11953512731625807,8.296721068657186,0,0,1017727,1244935,0.8174940860366204,1.223250439459698,13.833083249821101,7264.0,5690.0,4,5.9,0.6,13.9,4
Johor,primary,female,99.7,2021,99.0,0.7000000000000028,99.3,0.0,2022,-0.4000000000000057,98.9,0.5,0.7999999999999972,0.20000000000000284,98.55000000000001,0.3500000000000014,906.0,331877.0,27438.0,12.095524455135214,366.31015452538634,30.28476821192053,0.0,0.0020743379932968153,-0.012844036697247652,1.66,4020.0,1881.1,475.6,0.11830845771144279,8.299285906897275,0,0,1045400,1284000,0.8141744548286605,1.2282379950258275,13.859911101832148,7264.0,5690.0,5,5.9,0.6,13.9,5
Johor,primary,female,99.3,2022,99.3,0.0,,,2023,,99.7,0.7000000000000028,-0.4000000000000057,-0.7000000000000028,99.30000000000001,0.6000000000000014,908.0,331205.0,26783.0,12.366239778964268,364.7632158590308,29.49669603524229,0.002207505518763808,-0.002024846554597004,-0.023872002332531506,1.59,4028.3,1890.0,473.7,0.11759302931757813,8.301347942583138,0,0,1073400,1323700,0.8109088161970235,1.233184274268679,13.886342670343586,8517.0,6879.0,6,4.6,0.1,15.9,6
Johor,primary,male,98.67,2016,98.37,0.29999999999999716,98.59,0.5200000000000102,2017,-0.0799999999999983,,,,,,,,,,,,,,,,2.09,3651.8,1931.1,476.6,0.13051098088613836,8.203249275775532,0,0,914700,1023400,0.8937854211452023,1.118836777085383,13.726352514898478,6928.0,5652.0,0,0.0,0.0,13.5,0
Johor,primary,male,98.59,2017,98.07,0.5200000000000102,96.97,-0.7000000000000028,2018,-1.6200000000000045,98.67,0.29999999999999716,-0.0799999999999983,0.22000000000001307,,,906.0,326709.0,27087.0,12.061468601173996,360.60596026490066,29.897350993377483,,,,2.12,3697.0,1952.6,474.5,0.1283473086286178,8.21554741194707,0,0,932000,1039099,0.8969308987882771,1.1149130901287554,13.745089166628526,6928.0,5652.0,1,0.0,0.0,13.5,1
Johor,primary,male,96.97,2018,97.67,-0.7000000000000028,97.2,-0.7999999999999972,2019,0.23000000000000398,98.59,0.5200000000000102,-1.6200000000000045,-1.220000000000013,98.63,0.4100000000000037,907.0,328093.0,28311.0,11.588887711490234,361.7342888643881,31.213891951488424,0.001103752759381793,0.004236185718789587,0.04518772843061236,2.09,3749.4,1976.4,474.1,0.12644689817037394,8.22961777994264,0,0,949100,1054700,0.8998767422015739,1.1112633020756506,13.763270499747783,6928.0,5652.0,2,0.0,0.0,13.5,2
