Actual Completion Band,Row_Count,Mean_Residual,MAE
<=95,4,-0.7114107325182353,0.8293231041130475
95-98,11,1.148406169644354,1.6837899058523724
98-100,55,2.4540127444552606,2.9649974476286287
100-102,14,3.6125315348667764,3.6125315348667764
>102,12,5.811647794824359,5.811647794824359
