Baseline Name,Fallback Prediction Count,MAE,RMSE,R2,Median_AE
historical_state_stage_sex_mean_baseline,0,2.6012575520833328,3.2999924892305237,-0.8968801101490174,1.9412499999999966
stage_sex_mean_baseline,0,2.807619628906252,3.393252243617668,-1.0056089995823263,2.4742398437499986
rolling2_completion_mean_baseline,0,2.8484374999999993,3.600090421318146,-1.2575677764427775,2.2249999999999943
previous_year_trend_baseline,0,5.638541666666669,9.529772426453844,-14.819000481393761,3.6499999999999986
