Fold Name,MAE,RMSE,R2
fold_2018,2.429189926062024,4.042524972111112,-0.27769865226722734
fold_2019,2.7529367693138376,4.63849056809051,-0.0473413174083145
fold_2020,3.2205344820473707,4.961517315353968,-0.19103687993669916
