Context Item,Value
Final RF MAE,3.179469333608646
Final RF RMSE,3.849186402161396
Final RF R2,-1.580785236848035
Final RF Median_AE,2.7302460331631764
Mean Residual,2.7611743844487653
Bias Direction,Underprediction bias
Highest-error state,W.P. Putrajaya
Highest-error stage,secondary_upper
Highest-error sex group,male
