Model Name,Model Type,MAE,RMSE,R2,Median_AE,MAE Rank,RMSE Rank,R2 Rank
svr_alex,SVR (Alex),2.0239,2.7326,-0.3007,1.5768,1,1,1
rf_sam,Random Forest (Sam),3.179469333608646,3.849186402161396,-1.580785236848035,2.7302460331631764,2,2,2
