stage,Row Count,Mean Actual Target,Mean Predicted Target,Mean Residual,MAE,RMSE,Median Absolute Error,Maximum Absolute Error,Within 2 Percentage Points
secondary_upper,32,99.2875,95.09376034612974,4.193739653870264,4.2850937556361455,4.708145513996326,4.4303625382558,7.76557100885006,18.75
primary,32,99.51875,97.39723692802127,2.1215130719787143,2.6711262517354997,3.580419286502004,2.261069207754325,9.697541440928532,43.75
secondary_lower,32,99.609375,97.64110457250268,1.9682704274973184,2.582187993454293,3.076145547212181,2.5150533344562405,6.959785363969701,40.625
