Inferred Feature Group,Feature_Count,Mean_Absolute_Importance,Total_Absolute_Importance
categorical,3,0.009222548377921544,0.02766764513376463
demographic,6,0.007468601881162826,0.04481161128697696
household,5,0.012652928420184225,0.06326464210092113
completion_history,8,0.012071930030900867,0.09657544024720693
education_capacity,11,0.009105023786802571,0.10015526165482828
