Actual Completion Band,Row_Count,Mean_Residual,MAE
<=95,4,-1.6722352700991756,1.6722352700991756
95-98,11,0.2750408171584721,1.6160411024986094
98-100,55,0.979151048999879,1.3956384512560944
100-102,14,2.05769162725057,2.05769162725057
>102,12,5.35547315911942,5.35547315911942
