Model Name,Baseline Group,MAE,RMSE,R2,Median_AE,MAE Rank,RMSE Rank,R2 Rank
historical_state_stage_sex_mean_baseline,Additional rule baseline,2.6012575520833328,3.2999924892305237,-0.8968801101490174,1.9412499999999966,1,1,1
training_mean_baseline,Core baseline,2.7124119900173604,3.304518311952839,-0.9020866856819207,2.3038361979166666,2,2,2
stage_sex_mean_baseline,Additional rule baseline,2.807619628906252,3.393252243617668,-1.0056089995823263,2.4742398437499986,3,3,3
rolling2_completion_mean_baseline,Additional rule baseline,2.9723958333333322,4.269779341488268,-2.175593052733878,1.9499999999999957,4,4,4
persistence_baseline,Core baseline,3.0437500000000006,5.232610088028089,-3.7692570262793357,1.7000000000000028,5,5,5
previous_year_trend_baseline,Additional rule baseline,5.638541666666669,9.529772426453844,-14.819000481393761,3.6499999999999986,6,6,6
