state,year,tfr
selangor,2023,1.59
terengganu,2001,4.16
terengganu,2002,3.93
terengganu,2003,3.68
terengganu,2004,3.64
terengganu,2005,3.46
terengganu,2006,3.38
terengganu,2007,3.38
terengganu,2008,3.44
terengganu,2009,3.46
terengganu,2010,3.48
terengganu,2011,3.46
terengganu,2012,3.49
terengganu,2013,3.32
terengganu,2014,3.38
terengganu,2015,3.36
terengganu,2016,3.24
terengganu,2017,3.16
terengganu,2018,3.11
terengganu,2019,2.9
terengganu,2020,2.86
terengganu,2021,3.04
terengganu,2022,2.88
terengganu,2023,2.91
w.p. kuala lumpur,2001,1.99
w.p. kuala lumpur,2002,1.87
w.p. kuala lumpur,2003,1.8
w.p. kuala lumpur,2004,1.77
w.p. kuala lumpur,2005,1.65
w.p. kuala lumpur,2006,1.67
w.p. kuala lumpur,2007,1.7
w.p. kuala lumpur,2008,1.68
w.p. kuala lumpur,2009,1.68
w.p. kuala lumpur,2010,1.55
w.p. kuala lumpur,2011,1.58
w.p. kuala lumpur,2012,1.65
w.p. kuala lumpur,2013,1.52
w.p. kuala lumpur,2014,1.6
w.p. kuala lumpur,2015,1.5
w.p. kuala lumpur,2016,1.51
w.p. kuala lumpur,2017,1.46
w.p. kuala lumpur,2018,1.47
w.p. kuala lumpur,2019,1.68
w.p. kuala lumpur,2020,1.49
w.p. kuala lumpur,2021,1.21
w.p. kuala lumpur,2022,1.19
w.p. kuala lumpur,2023,1.31
w.p. labuan,2001,2.3
w.p. labuan,2002,2.26
w.p. labuan,2003,2.4
w.p. labuan,2004,2.26
w.p. labuan,2005,2.18
w.p. labuan,2006,2.24
w.p. labuan,2007,2.13
w.p. labuan,2008,2.21
w.p. labuan,2009,2.09
w.p. labuan,2010,1.98
w.p. labuan,2011,2.05
w.p. labuan,2012,2.04
w.p. labuan,2013,2.0
w.p. labuan,2014,2.05
w.p. labuan,2015,2.13
w.p. labuan,2016,1.89
w.p. labuan,2017,1.82
w.p. labuan,2018,1.8
w.p. labuan,2019,1.8
w.p. labuan,2020,1.88
w.p. labuan,2021,1.79
w.p. labuan,2022,1.6
w.p. labuan,2023,1.61
w.p. putrajaya,2010,2.4
w.p. putrajaya,2011,2.65
w.p. putrajaya,2012,2.87
w.p. putrajaya,2013,2.64
w.p. putrajaya,2014,2.85
w.p. putrajaya,2015,2.72
w.p. putrajaya,2016,2.56
w.p. putrajaya,2017,2.56
w.p. putrajaya,2018,2.63
w.p. putrajaya,2019,3.26
w.p. putrajaya,2020,2.78
w.p. putrajaya,2021,1.86
w.p. putrajaya,2022,1.76
w.p. putrajaya,2023,1.79
