Candidate Group,Candidate Name,Scaler,C,epsilon,gamma,Kernel
tuned_grid,rbf_robust_C10.0_eps0.2_gamma0.1,robust,10.0,0.2,0.1,rbf
tuned_grid,rbf_robust_C50.0_eps0.05_gammascale,robust,50.0,0.05,scale,rbf
tuned_grid,rbf_robust_C50.0_eps0.05_gamma0.01,robust,50.0,0.05,0.01,rbf
tuned_grid,rbf_robust_C50.0_eps0.05_gamma0.1,robust,50.0,0.05,0.1,rbf
tuned_grid,rbf_robust_C50.0_eps0.1_gammascale,robust,50.0,0.1,scale,rbf
tuned_grid,rbf_robust_C50.0_eps0.1_gamma0.01,robust,50.0,0.1,0.01,rbf
tuned_grid,rbf_robust_C50.0_eps0.1_gamma0.1,robust,50.0,0.1,0.1,rbf
tuned_grid,rbf_robust_C50.0_eps0.2_gammascale,robust,50.0,0.2,scale,rbf
tuned_grid,rbf_robust_C50.0_eps0.2_gamma0.01,robust,50.0,0.2,0.01,rbf
tuned_grid,rbf_robust_C50.0_eps0.2_gamma0.1,robust,50.0,0.2,0.1,rbf
