state,stage,sex,year,completion_rate,malaysia_completion_rate,completion_gap_from_malaysia,target_year,next_year_completion_rate,next_year_completion_gap_from_malaysia,target_delta
johor,secondary_upper,male,2019,97.4,96.1,1.3000000000000114,2020,88.3,-3.700000000000003,-9.100000000000009
johor,secondary_upper,male,2020,88.3,92.0,-3.700000000000003,2021,96.8,-0.7999999999999972,8.5
johor,secondary_upper,male,2021,96.8,97.6,-0.7999999999999972,2022,97.8,-1.2999999999999972,1.0
johor,secondary_upper,male,2022,97.8,99.1,-1.2999999999999972,2023,,,
kedah,primary,both,2016,99.97,98.37,1.5999999999999943,2017,100.12,2.0500000000000114,0.15000000000000568
kedah,primary,both,2017,100.12,98.07,2.0500000000000114,2018,100.34,2.6700000000000017,0.21999999999999886
kedah,primary,both,2018,100.34,97.67,2.6700000000000017,2019,100.2,2.200000000000003,-0.14000000000000057
kedah,primary,both,2019,100.2,98.0,2.200000000000003,2020,100.1,1.6999999999999886,-0.10000000000000853
kedah,primary,both,2020,100.1,98.4,1.6999999999999886,2021,97.2,-1.7999999999999972,-2.8999999999999915
kedah,primary,both,2021,97.2,99.0,-1.7999999999999972,2022,101.1,1.7999999999999972,3.8999999999999915
kedah,primary,both,2022,101.1,99.3,1.7999999999999972,2023,,,
kedah,primary,female,2016,100.85,99.14,1.7099999999999937,2017,100.84,2.010000000000005,-0.009999999999990905
kedah,primary,female,2017,100.84,98.83,2.010000000000005,2018,101.4,2.8800000000000097,0.5600000000000023
kedah,primary,female,2018,101.4,98.52,2.8800000000000097,2019,100.8,2.0999999999999943,-0.6000000000000085
kedah,primary,female,2019,100.8,98.7,2.0999999999999943,2020,100.9,1.6000000000000085,0.10000000000000853
kedah,primary,female,2020,100.9,99.3,1.6000000000000085,2021,99.3,-1.2000000000000028,-1.6000000000000085
kedah,primary,female,2021,99.3,100.5,-1.2000000000000028,2022,102.4,2.3000000000000114,3.1000000000000085
kedah,primary,female,2022,102.4,100.1,2.3000000000000114,2023,,,
kedah,primary,male,2016,99.11,97.64,1.4699999999999989,2017,99.43,2.0900000000000034,0.3200000000000074
kedah,primary,male,2017,99.43,97.34,2.0900000000000034,2018,99.33,2.469999999999999,-0.10000000000000853
kedah,primary,male,2018,99.33,96.86,2.469999999999999,2019,99.6,2.3999999999999915,0.269999999999996
kedah,primary,male,2019,99.6,97.2,2.3999999999999915,2020,99.3,1.7000000000000028,-0.29999999999999716
kedah,primary,male,2020,99.3,97.6,1.7000000000000028,2021,95.3,-2.200000000000003,-4.0
kedah,primary,male,2021,95.3,97.5,-2.200000000000003,2022,99.8,1.0999999999999943,4.5
kedah,primary,male,2022,99.8,98.7,1.0999999999999943,2023,,,
kedah,secondary_lower,both,2016,95.9472,95.582,0.3652000000000015,2017,97.3087,-0.4163999999999959,1.3615000000000066
kedah,secondary_lower,both,2017,97.3087,97.7251,-0.4163999999999959,2018,96.3721,-0.26559999999999206,-0.9365999999999985
kedah,secondary_lower,both,2018,96.3721,96.6377,-0.26559999999999206,2019,96.1,-0.6000000000000085,-0.2721000000000089
kedah,secondary_lower,both,2019,96.1,96.7,-0.6000000000000085,2020,96.8,-1.0,0.7000000000000028
kedah,secondary_lower,both,2020,96.8,97.8,-1.0,2021,100.3,0.5,3.5
kedah,secondary_lower,both,2021,100.3,99.8,0.5,2022,99.4,0.4000000000000057,-0.8999999999999915
kedah,secondary_lower,both,2022,99.4,99.0,0.4000000000000057,2023,,,
kedah,secondary_lower,female,2016,97.6341,97.0444,0.5897000000000077,2017,97.6467,-1.0065000000000026,0.012599999999991951
kedah,secondary_lower,female,2017,97.6467,98.6532,-1.0065000000000026,2018,97.7081,0.027000000000001023,0.061400000000006116
kedah,secondary_lower,female,2018,97.7081,97.6811,0.027000000000001023,2019,98.1,0.09999999999999432,0.3918999999999926
kedah,secondary_lower,female,2019,98.1,98.0,0.09999999999999432,2020,98.6,-0.7000000000000028,0.5
kedah,secondary_lower,female,2020,98.6,99.3,-0.7000000000000028,2021,100.9,0.5,2.3000000000000114
kedah,secondary_lower,female,2021,100.9,100.4,0.5,2022,99.2,0.29999999999999716,-1.7000000000000028
kedah,secondary_lower,female,2022,99.2,98.9,0.29999999999999716,2023,,,
kedah,secondary_lower,male,2016,94.3062,94.1613,0.1449000000000069,2017,96.9697,0.15670000000000073,2.663499999999999
kedah,secondary_lower,male,2017,96.9697,96.813,0.15670000000000073,2018,95.0751,-0.5502999999999929,-1.894599999999997
kedah,secondary_lower,male,2018,95.0751,95.6254,-0.5502999999999929,2019,94.1,-1.3000000000000114,-0.9751000000000118
kedah,secondary_lower,male,2019,94.1,95.4,-1.3000000000000114,2020,95.0,-1.4000000000000057,0.9000000000000057
kedah,secondary_lower,male,2020,95.0,96.4,-1.4000000000000057,2021,99.7,0.5,4.700000000000003
kedah,secondary_lower,male,2021,99.7,99.2,0.5,2022,99.6,0.3999999999999915,-0.10000000000000853
kedah,secondary_lower,male,2022,99.6,99.2,0.3999999999999915,2023,,,
kedah,secondary_upper,both,2016,99.0933,99.2484,-0.15510000000000446,2017,97.451,1.0703999999999922,-1.6423000000000059
kedah,secondary_upper,both,2017,97.451,96.3806,1.0703999999999922,2018,95.7661,0.13539999999998997,-1.684899999999999
kedah,secondary_upper,both,2018,95.7661,95.6307,0.13539999999998997,2019,96.6,-0.9000000000000057,0.8338999999999999
kedah,secondary_upper,both,2019,96.6,97.5,-0.9000000000000057,2020,96.7,3.9000000000000057,0.10000000000000853
kedah,secondary_upper,both,2020,96.7,92.8,3.9000000000000057,2021,100.5,2.700000000000003,3.799999999999997
kedah,secondary_upper,both,2021,100.5,97.8,2.700000000000003,2022,99.2,0.0,-1.2999999999999972
kedah,secondary_upper,both,2022,99.2,99.2,0.0,2023,,,
kedah,secondary_upper,female,2016,98.8679,99.4922,-0.624299999999991,2017,98.573,1.0809999999999889,-0.2949000000000126
kedah,secondary_upper,female,2017,98.573,97.492,1.0809999999999889,2018,97.5336,1.0204000000000093,-1.0393999999999863
kedah,secondary_upper,female,2018,97.5336,96.5132,1.0204000000000093,2019,97.9,-1.0,0.3663999999999987
kedah,secondary_upper,female,2019,97.9,98.9,-1.0,2020,97.9,4.300000000000011,0.0
kedah,secondary_upper,female,2020,97.9,93.6,4.300000000000011,2021,100.0,2.0999999999999943,2.0999999999999943
kedah,secondary_upper,female,2021,100.0,97.9,2.0999999999999943,2022,99.6,0.29999999999999716,-0.4000000000000057
kedah,secondary_upper,female,2022,99.6,99.3,0.29999999999999716,2023,,,
kedah,secondary_upper,male,2016,99.3418,98.9922,0.34960000000000946,2017,96.2206,1.0080000000000098,-3.1212000000000018
kedah,secondary_upper,male,2017,96.2206,95.2126,1.0080000000000098,2018,93.9202,-0.7976000000000028,-2.3004000000000104
kedah,secondary_upper,male,2018,93.9202,94.7178,-0.7976000000000028,2019,95.3,-0.7999999999999972,1.379800000000003
kedah,secondary_upper,male,2019,95.3,96.1,-0.7999999999999972,2020,95.5,3.5,0.20000000000000284
kedah,secondary_upper,male,2020,95.5,92.0,3.5,2021,101.2,3.6000000000000085,5.700000000000003
kedah,secondary_upper,male,2021,101.2,97.6,3.6000000000000085,2022,98.7,-0.3999999999999915,-2.5
kedah,secondary_upper,male,2022,98.7,99.1,-0.3999999999999915,2023,,,
kelantan,primary,both,2016,100.32,98.37,1.9499999999999886,2017,100.17,2.1000000000000085,-0.14999999999999147
kelantan,primary,both,2017,100.17,98.07,2.1000000000000085,2018,99.32,1.6499999999999915,-0.8500000000000085
kelantan,primary,both,2018,99.32,97.67,1.6499999999999915,2019,99.9,1.9000000000000057,0.5800000000000125
kelantan,primary,both,2019,99.9,98.0,1.9000000000000057,2020,99.5,1.0999999999999943,-0.4000000000000057
kelantan,primary,both,2020,99.5,98.4,1.0999999999999943,2021,100.2,1.2000000000000028,0.7000000000000028
kelantan,primary,both,2021,100.2,99.0,1.2000000000000028,2022,98.2,-1.0999999999999943,-2.0
kelantan,primary,both,2022,98.2,99.3,-1.0999999999999943,2023,,,
kelantan,primary,female,2016,101.49,99.14,2.3499999999999943,2017,101.41,2.5799999999999983,-0.0799999999999983
kelantan,primary,female,2017,101.41,98.83,2.5799999999999983,2018,100.59,2.0700000000000074,-0.8199999999999932
kelantan,primary,female,2018,100.59,98.52,2.0700000000000074,2019,101.1,2.3999999999999915,0.5099999999999909
kelantan,primary,female,2019,101.1,98.7,2.3999999999999915,2020,101.5,2.200000000000003,0.4000000000000057
kelantan,primary,female,2020,101.5,99.3,2.200000000000003,2021,101.8,1.2999999999999972,0.29999999999999716
kelantan,primary,female,2021,101.8,100.5,1.2999999999999972,2022,99.2,-0.8999999999999915,-2.5999999999999943
kelantan,primary,female,2022,99.2,100.1,-0.8999999999999915,2023,,,
kelantan,primary,male,2016,99.2,97.64,1.5600000000000023,2017,99.0,1.6599999999999966,-0.20000000000000284
kelantan,primary,male,2017,99.0,97.34,1.6599999999999966,2018,98.12,1.2600000000000051,-0.8799999999999955
kelantan,primary,male,2018,98.12,96.86,1.2600000000000051,2019,98.7,1.5,0.5799999999999983
kelantan,primary,male,2019,98.7,97.2,1.5,2020,97.6,0.0,-1.1000000000000085
kelantan,primary,male,2020,97.6,97.6,0.0,2021,98.7,1.2000000000000028,1.1000000000000085
kelantan,primary,male,2021,98.7,97.5,1.2000000000000028,2022,97.3,-1.4000000000000057,-1.4000000000000057
kelantan,primary,male,2022,97.3,98.7,-1.4000000000000057,2023,,,
kelantan,secondary_lower,both,2016,96.242,95.582,0.6600000000000108,2017,94.65,-3.075099999999992,-1.5919999999999987
kelantan,secondary_lower,both,2017,94.65,97.7251,-3.075099999999992,2018,85.9723,-10.665399999999991,-8.677700000000002
kelantan,secondary_lower,both,2018,85.9723,96.6377,-10.665399999999991,2019,98.0,1.2999999999999972,12.027699999999996
kelantan,secondary_lower,both,2019,98.0,96.7,1.2999999999999972,2020,109.9,12.100000000000009,11.900000000000006
kelantan,secondary_lower,both,2020,109.9,97.8,12.100000000000009,2021,111.7,11.900000000000006,1.7999999999999972
kelantan,secondary_lower,both,2021,111.7,99.8,11.900000000000006,2022,99.0,0.0,-12.700000000000003
kelantan,secondary_lower,both,2022,99.0,99.0,0.0,2023,,,
kelantan,secondary_lower,female,2016,96.6945,97.0444,-0.349899999999991,2017,96.9235,-1.729699999999994,0.2289999999999992
kelantan,secondary_lower,female,2017,96.9235,98.6532,-1.729699999999994,2018,86.3164,-11.3647,-10.607100000000003
kelantan,secondary_lower,female,2018,86.3164,97.6811,-11.3647,2019,98.8,0.7999999999999972,12.483599999999996
kelantan,secondary_lower,female,2019,98.8,98.0,0.7999999999999972,2020,112.9,13.600000000000009,14.100000000000009
kelantan,secondary_lower,female,2020,112.9,99.3,13.600000000000009,2021,112.9,12.5,0.0
kelantan,secondary_lower,female,2021,112.9,100.4,12.5,2022,98.7,-0.20000000000000284,-14.200000000000003
kelantan,secondary_lower,female,2022,98.7,98.9,-0.20000000000000284,2023,,,
kelantan,secondary_lower,male,2016,95.7847,94.1613,1.6234000000000037,2017,92.3972,-4.415800000000004,-3.387500000000003
kelantan,secondary_lower,male,2017,92.3972,96.813,-4.415800000000004,2018,85.6336,-9.991799999999998,-6.763599999999997
kelantan,secondary_lower,male,2018,85.6336,95.6254,-9.991799999999998,2019,97.1,1.6999999999999886,11.466399999999993
kelantan,secondary_lower,male,2019,97.1,95.4,1.6999999999999886,2020,107.0,10.599999999999994,9.900000000000006
kelantan,secondary_lower,male,2020,107.0,96.4,10.599999999999994,2021,110.5,11.299999999999997,3.5
kelantan,secondary_lower,male,2021,110.5,99.2,11.299999999999997,2022,99.4,0.20000000000000284,-11.099999999999994
kelantan,secondary_lower,male,2022,99.4,99.2,0.20000000000000284,2023,,,
kelantan,secondary_upper,both,2016,98.4254,99.2484,-0.8230000000000075,2017,96.8805,0.4998999999999967,-1.5448999999999984
kelantan,secondary_upper,both,2017,96.8805,96.3806,0.4998999999999967,2018,88.4185,-7.21220000000001,-8.462000000000003
kelantan,secondary_upper,both,2018,88.4185,95.6307,-7.21220000000001,2019,109.2,11.700000000000003,20.78150000000001
kelantan,secondary_upper,both,2019,109.2,97.5,11.700000000000003,2020,97.7,4.900000000000006,-11.5
kelantan,secondary_upper,both,2020,97.7,92.8,4.900000000000006,2021,100.3,2.5,2.5999999999999943
kelantan,secondary_upper,both,2021,100.3,97.8,2.5,2022,99.4,0.20000000000000284,-0.8999999999999915
kelantan,secondary_upper,both,2022,99.4,99.2,0.20000000000000284,2023,,,
kelantan,secondary_upper,female,2016,97.9233,99.4922,-1.5688999999999993,2017,98.8592,1.3671999999999969,0.9359000000000037
kelantan,secondary_upper,female,2017,98.8592,97.492,1.3671999999999969,2018,87.4555,-9.057699999999997,-11.4037
kelantan,secondary_upper,female,2018,87.4555,96.5132,-9.057699999999997,2019,111.7,12.799999999999997,24.244500000000002
kelantan,secondary_upper,female,2019,111.7,98.9,12.799999999999997,2020,98.6,5.0,-13.100000000000009
kelantan,secondary_upper,female,2020,98.6,93.6,5.0,2021,99.6,1.6999999999999886,1.0
kelantan,secondary_upper,female,2021,99.6,97.9,1.6999999999999886,2022,98.8,-0.5,-0.7999999999999972
kelantan,secondary_upper,female,2022,98.8,99.3,-0.5,2023,,,
kelantan,secondary_upper,male,2016,98.9638,98.9922,-0.028399999999990655,2017,94.7214,-0.4911999999999921,-4.2424000000000035
kelantan,secondary_upper,male,2017,94.7214,95.2126,-0.4911999999999921,2018,89.4737,-5.244100000000003,-5.247700000000009
kelantan,secondary_upper,male,2018,89.4737,94.7178,-5.244100000000003,2019,106.7,10.600000000000009,17.22630000000001
kelantan,secondary_upper,male,2019,106.7,96.1,10.600000000000009,2020,96.8,4.799999999999997,-9.900000000000006
kelantan,secondary_upper,male,2020,96.8,92.0,4.799999999999997,2021,101.1,3.5,4.299999999999997
kelantan,secondary_upper,male,2021,101.1,97.6,3.5,2022,100.0,0.9000000000000057,-1.0999999999999943
kelantan,secondary_upper,male,2022,100.0,99.1,0.9000000000000057,2023,,,
melaka,primary,both,2016,98.92,98.37,0.5499999999999972,2017,98.87,0.8000000000000114,-0.04999999999999716
melaka,primary,both,2017,98.87,98.07,0.8000000000000114,2018,98.92,1.25,0.04999999999999716
melaka,primary,both,2018,98.92,97.67,1.25,2019,98.7,0.7000000000000028,-0.21999999999999886
melaka,primary,both,2019,98.7,98.0,0.7000000000000028,2020,98.5,0.09999999999999432,-0.20000000000000284
melaka,primary,both,2020,98.5,98.4,0.09999999999999432,2021,95.1,-3.9000000000000057,-3.4000000000000057
melaka,primary,both,2021,95.1,99.0,-3.9000000000000057,2022,99.5,0.20000000000000284,4.400000000000006
melaka,primary,both,2022,99.5,99.3,0.20000000000000284,2023,,,
melaka,primary,female,2016,100.17,99.14,1.0300000000000011,2017,99.92,1.0900000000000034,-0.25
melaka,primary,female,2017,99.92,98.83,1.0900000000000034,2018,99.17,0.6500000000000057,-0.75
melaka,primary,female,2018,99.17,98.52,0.6500000000000057,2019,100.3,1.5999999999999943,1.1299999999999955
melaka,primary,female,2019,100.3,98.7,1.5999999999999943,2020,99.2,-0.09999999999999432,-1.0999999999999943
melaka,primary,female,2020,99.2,99.3,-0.09999999999999432,2021,96.8,-3.700000000000003,-2.4000000000000057
melaka,primary,female,2021,96.8,100.5,-3.700000000000003,2022,100.3,0.20000000000000284,3.5
