Baseline Name,MAE,RMSE,R2,Median_AE
training_mean_baseline,2.7124119900173604,3.304518311952839,-0.9020866856819207,2.3038361979166666
persistence_baseline,3.0437500000000006,5.232610088028089,-3.7692570262793357,1.7000000000000028
