Compared Baseline,SVR Model,Calibration Method,Calibration Intercept,Baseline MAE,SVR MAE,MAE Improvement,MAE Improvement Percentage,Baseline RMSE,SVR RMSE,RMSE Improvement,RMSE Improvement Percentage,Baseline R2,SVR R2,R2 Difference,Baseline Median_AE,SVR Median_AE,Median_AE Improvement,SVR Beats Baseline on MAE,SVR Beats Baseline on RMSE,SVR Beats Baseline on R2,SVR Beats Baseline on Median_AE
training_mean_baseline,selected_svr,mean_residual,0.6659344803565374,2.7124119900173604,2.023946549144871,0.6884654408724895,25.38203795759224,3.304518311952839,2.73260976914434,0.5719085428084991,17.30686559489888,-0.9020866856819207,-0.3006762586745686,0.6014104270073521,2.3038361979166666,1.5768237097878242,0.7270124881288424,True,True,True,True
persistence_baseline,selected_svr,mean_residual,0.6659344803565374,3.0437500000000006,2.023946549144871,1.0198034508551297,33.504836167724996,5.232610088028089,2.73260976914434,2.500000318883749,47.77730954201243,-3.7692570262793357,-0.3006762586745686,3.468580767604767,1.7000000000000028,1.5768237097878242,0.12317629021217869,True,True,True,True
