stage,Row Count,Mean Actual Target,Mean Predicted Target,Mean Residual,MAE,RMSE,Median Absolute Error,Maximum Absolute Error,Within 2 Percentage Points
primary,32,99.51875,98.38880477120814,1.129945228791858,2.102220321989489,2.9543538790127517,1.6904119693854511,8.695205391930514,65.625
secondary_lower,32,99.609375,98.08648402022891,1.5228909797710841,2.0081289972700986,2.655098283832389,1.5482611624261509,7.466131683282114,65.625
secondary_upper,32,99.2875,97.46336194936666,1.8241380506333345,1.9614903281750253,2.5736578467274653,1.5084178787990083,7.436523044926062,59.375
