state,stage,sex,Row Count,Mean Actual Target,Mean Predicted Target,Mean Residual,MAE,RMSE,Median Absolute Error,Maximum Absolute Error,Within 2 Percentage Points
sarawak,secondary_lower,male,1,98.5,96.72832269069623,1.7716773093037688,1.7716773093037688,1.7716773093037688,1.7716773093037688,1.7716773093037688,100.0
pahang,secondary_upper,male,1,100.6,98.85179174993151,1.7482082500684868,1.7482082500684868,1.7482082500684868,1.7482082500684868,1.7482082500684868,100.0
w.p. labuan,primary,female,1,93.9,95.62060430659045,-1.7206043065904453,1.7206043065904453,1.7206043065904453,1.7206043065904453,1.7206043065904453,100.0
w.p. putrajaya,secondary_upper,female,1,99.1,97.41385435341486,1.6861456465851319,1.6861456465851319,1.6861456465851319,1.6861456465851319,1.6861456465851319,100.0
pulau pinang,secondary_lower,female,1,99.7,98.03139927086066,1.6686007291393423,1.6686007291393423,1.6686007291393423,1.6686007291393423,1.6686007291393423,100.0
johor,primary,male,1,98.7,97.03978036781955,1.660219632180457,1.660219632180457,1.660219632180457,1.660219632180457,1.660219632180457,100.0
kelantan,secondary_lower,male,1,99.4,100.99386330671953,-1.593863306719527,1.593863306719527,1.593863306719527,1.593863306719527,1.593863306719527,100.0
sabah,secondary_lower,female,1,99.7,98.14021588714388,1.5597841128561214,1.5597841128561214,1.5597841128561214,1.5597841128561214,1.5597841128561214,100.0
melaka,secondary_lower,male,1,98.6,97.06326178800381,1.5367382119961803,1.5367382119961803,1.5367382119961803,1.5367382119961803,1.5367382119961803,100.0
pulau pinang,primary,female,1,98.9,97.48314426037972,1.4168557396202885,1.4168557396202885,1.4168557396202885,1.4168557396202885,1.4168557396202885,100.0
pulau pinang,primary,male,1,96.6,95.20549178043099,1.3945082195690048,1.3945082195690048,1.3945082195690048,1.3945082195690048,1.3945082195690048,100.0
w.p. kuala lumpur,secondary_lower,male,1,96.5,95.12721912725915,1.3727808727408473,1.3727808727408473,1.3727808727408473,1.3727808727408473,1.3727808727408473,100.0
johor,secondary_lower,female,1,97.6,98.95974986125644,-1.3597498612564465,1.3597498612564465,1.3597498612564465,1.3597498612564465,1.3597498612564465,100.0
perak,secondary_lower,male,1,99.0,97.64897391603589,1.3510260839641148,1.3510260839641148,1.3510260839641148,1.3510260839641148,1.3510260839641148,100.0
sabah,primary,male,1,100.3,98.96640161400067,1.3335983859993235,1.3335983859993235,1.3335983859993235,1.3335983859993235,1.3335983859993235,100.0
sabah,secondary_upper,female,1,99.5,98.16930988898712,1.3306901110128848,1.3306901110128848,1.3306901110128848,1.3306901110128848,1.3306901110128848,100.0
