sex,Row Count,Mean Actual Target,Mean Predicted Target,Mean Residual,MAE,RMSE,Median Absolute Error,Maximum Absolute Error,Within 2 Percentage Points
male,48,99.125,97.2807872216705,1.8442127783295048,2.283820744292681,2.8479800195530096,1.8957660954430935,7.436523044926062,52.083333333333336
female,48,99.81874999999998,98.67831327219865,1.1404367278013463,1.7640723539970609,2.6121489446570623,1.2553673002373245,8.695205391930514,75.0
