Model Name,Model Type,Calibration Method,Calibration Intercept,MAE,RMSE,R2,Median_AE,MAE Rank,RMSE Rank,R2 Rank
selected_svr,SVR,mean_residual,0.6659344803565374,2.023946549144871,2.73260976914434,-0.3006762586745686,1.5768237097878242,1,1,1
training_mean_baseline,Baseline,,,2.7124119900173604,3.304518311952839,-0.9020866856819207,2.3038361979166666,2,2,2
persistence_baseline,Baseline,,,3.0437500000000006,5.232610088028089,-3.7692570262793357,1.7000000000000028,3,3,3
