state,year,income_mean,income_median,income_year_used,income_data_age,poverty_absolute,poverty_hardcore,poverty_relative,poverty_year_used,poverty_data_age
selangor,2022,12233,9983.0,2022,0,1.5,0.0,14.2,2022,0
terengganu,2016,5776,4694.0,2016,0,0.4,0.0,10.2,2016,0
terengganu,2017,5776,4694.0,2016,1,0.4,0.0,10.2,2016,1
terengganu,2018,5776,4694.0,2016,2,0.4,0.0,10.2,2016,2
terengganu,2019,6815,5545.0,2019,0,6.1,0.3,8.2,2019,0
terengganu,2020,6051,4790.0,2020,0,12.0,1.1,10.7,2020,0
terengganu,2021,6051,4790.0,2020,1,12.0,1.1,10.7,2020,1
terengganu,2022,7248,5878.0,2022,0,6.2,0.2,6.9,2022,0
w.p. kuala lumpur,2016,11692,9073.0,2016,0,0.0,0.0,13.8,2016,0
w.p. kuala lumpur,2017,11692,9073.0,2016,1,0.0,0.0,13.8,2016,1
w.p. kuala lumpur,2018,11692,9073.0,2016,2,0.0,0.0,13.8,2016,2
w.p. kuala lumpur,2019,13257,10549.0,2019,0,0.2,0.0,10.6,2019,0
w.p. kuala lumpur,2020,11728,9093.0,2020,0,0.4,0.0,9.1,2020,0
w.p. kuala lumpur,2021,11728,9093.0,2020,1,0.4,0.0,9.1,2020,1
w.p. kuala lumpur,2022,13325,10234.0,2022,0,1.4,0.0,12.7,2022,0
w.p. labuan,2016,8174,5928.0,2016,0,0.0,0.0,11.6,2016,0
w.p. labuan,2017,8174,5928.0,2016,1,0.0,0.0,11.6,2016,1
w.p. labuan,2018,8174,5928.0,2016,2,0.0,0.0,11.6,2016,2
w.p. labuan,2019,8319,6726.0,2019,0,3.1,0.0,12.9,2019,0
w.p. labuan,2020,7333,6126.0,2020,0,5.2,0.1,11.8,2020,0
w.p. labuan,2021,7333,6126.0,2020,1,5.2,0.1,11.8,2020,1
w.p. labuan,2022,8250,6904.0,2022,0,2.5,0.0,7.0,2022,0
w.p. putrajaya,2016,11555,8275.0,2016,0,0.0,0.0,6.8,2016,0
w.p. putrajaya,2017,11555,8275.0,2016,1,0.0,0.0,6.8,2016,1
w.p. putrajaya,2018,11555,8275.0,2016,2,0.0,0.0,6.8,2016,2
w.p. putrajaya,2019,12840,9983.0,2019,0,0.4,0.0,12.1,2019,0
w.p. putrajaya,2020,12322,9743.0,2020,0,0.2,0.0,11.2,2020,0
w.p. putrajaya,2021,12322,9743.0,2020,1,0.2,0.0,11.2,2020,1
w.p. putrajaya,2022,13473,10056.0,2022,0,0.1,0.0,11.4,2022,0
