state,year,households,living_quarters,households_per_living_quarter,living_quarters_per_household,log_households
johor,1970,214804,217392,0.9880952380952381,1.0120481927710843,12.277485918813342
johor,1980,287527,306410,0.9383734212329885,1.0656738323705253,12.569075525781665
johor,1991,423130,503486,0.8404007261373703,1.1899085387469572,12.955437102754933
johor,2000,572653,696759,0.8218810234241681,1.2167211208183664,13.258036973870881
johor,2010,810290,927200,0.8739106988783434,1.1442816769304818,13.605148721389725
johor,2011,828500,945500,0.8762559492332099,1.1412190706095353,13.62737332284863
johor,2012,846000,961000,0.8803329864724245,1.135933806146572,13.648275820620759
johor,2013,863300,976600,0.8839852549662093,1.131240588439708,13.668518692568826
johor,2014,880600,992200,0.8875226768796614,1.1267317737905973,13.688359907892517
johor,2015,897600,1007800,0.8906529073228815,1.1227718360071302,13.707480927831945
johor,2016,914700,1023400,0.8937854211452023,1.118836777085383,13.726352514898478
johor,2017,932000,1039099,0.8969308987882771,1.1149130901287554,13.745089166628526
johor,2018,949100,1054700,0.8998767422015739,1.1112633020756506,13.763270499747783
johor,2019,966000,1070200,0.90263502149131,1.1078674948240166,13.780920148390807
johor,2020,1017727,1244935,0.8174940860366204,1.223250439459698,13.833083249821101
johor,2021,1045400,1284000,0.8141744548286605,1.2282379950258275,13.859911101832148
johor,2022,1073400,1323700,0.8109088161970235,1.233184274268679,13.886342670343586
johor,2023,1101800,1364100,0.8077120445715124,1.2380649845707026,13.912456671626078
johor,2024,1130600,1405200,0.804582977512098,1.2428798867857775,13.93825990770905
kedah,1970,185080,196889,0.940022042876951,1.0638048411497731,12.128548846075283
kedah,1980,215596,234253,0.9203553423008457,1.0865368559713537,12.281166203263398
kedah,1991,271175,321588,0.84323730984987,1.1859057804001105,12.510523335557192
kedah,2000,341757,395235,0.8646931572355687,1.1564796039291074,12.741858163236865
kedah,2010,454230,529100,0.8584955584955585,1.1648283909032868,13.026361158195964
kedah,2011,461100,538800,0.8557906458797327,1.1685100845803513,13.041372386919402
kedah,2012,467800,547900,0.8538054389487133,1.1712270200940573,13.0557982707956
kedah,2013,474700,557200,0.8519382627422828,1.173793975142195,13.070440411130829
kedah,2014,481800,566500,0.8504854368932039,1.1757990867579908,13.085286444710775
kedah,2015,489200,575900,0.8494530300399374,1.1772281275551921,13.100528726946786
kedah,2016,496800,585400,0.848650495387769,1.178341384863124,13.115944822481827
kedah,2017,504700,595000,0.8482352941176471,1.1789181692094313,13.131721453701465
kedah,2018,512799,604700,0.8480221597486357,1.1792144680469345,13.147641184588597
kedah,2019,521000,614500,0.8478437754271766,1.1794625719769674,13.163507240119458
kedah,2020,528228,631055,0.837055407214902,1.194664046585944,13.177285180783695
kedah,2021,537500,641200,0.8382719900187149,1.1929302325581395,13.194685899447341
kedah,2022,546900,651400,0.8395762972060178,1.1910769793380873,13.212023077821033
kedah,2023,556300,661800,0.8405862798428528,1.1896458745281322,13.229064793652997
kedah,2024,565900,672200,0.8418625409104433,1.1878423749779112,13.246174430225715
kelantan,1970,145380,151301,0.9608660881289615,1.040727747970835,11.887113161540213
kelantan,1980,177799,188579,0.9428356285694589,1.0606302622624424,12.088414602061942
kelantan,1991,231641,264720,0.8750415533393775,1.1428028716850644,12.35294835538983
kelantan,2000,255975,295610,0.8659213152464396,1.1548393397792753,12.452838969066894
kelantan,2010,318490,347100,0.9175741861135119,1.089830135954033,12.671349496138276
kelantan,2011,322000,358300,0.8986882500697739,1.1127329192546584,12.682309930111785
kelantan,2012,325700,363600,0.8957645764576457,1.116364752840037,12.693735061569713
kelantan,2013,329400,368900,0.8929249119002439,1.1199149969641773,12.705031132543777
kelantan,2014,333400,374300,0.8907293614747529,1.1226754649070185,12.717101248694453
kelantan,2015,337400,379700,0.8885962602054254,1.1253704801422644,12.729027412930751
kelantan,2016,341600,385100,0.8870423266683978,1.1273419203747073,12.741398668292735
kelantan,2017,346000,390700,0.8855899667263886,1.1291907514450867,12.754196944209095
kelantan,2018,350400,396300,0.8841786525359576,1.1309931506849316,12.76683349192158
kelantan,2019,355000,402100,0.8828649589654315,1.1326760563380283,12.779875885354993
kelantan,2020,363251,430354,0.8440748778912245,1.1847290165753157,12.802852087267338
