state,stage,sex,year,completion_rate,malaysia_completion_rate,completion_gap_from_malaysia,target_year,next_year_completion_rate,next_year_completion_gap_from_malaysia,target_delta,lag1_completion_rate,lag1_completion_gap_from_malaysia,completion_rate_change_1y,gap_change_1y,rolling2_completion_mean,rolling2_gap_mean,schools_total,students_total,teachers_total,students_per_teacher,students_per_school,teachers_per_school,schools_growth_1y,students_growth_1y,teachers_growth_1y,tfr,same_sex_total_population,same_sex_school_age_population,total_state_population,same_sex_school_age_share,log_population_total,is_federal_territory,is_small_population_state,households,living_quarters,households_per_living_quarter,living_quarters_per_household,log_households,income_mean,income_median,income_year_used,income_data_age,poverty_absolute,poverty_hardcore,poverty_relative,poverty_year_used,poverty_data_age
johor,primary,female,2022,99.3,100.1,-0.7999999999999972,2023,,,,99.7,-0.7999999999999972,-0.4000000000000057,0.0,99.5,-0.7999999999999972,908.0,161163.0,19410.0,8.303091190108193,177.49229074889868,21.376651982378856,0.002207505518763797,-0.0004837479301170298,-0.01512076314187132,1.59,1890.0,473.7,4028.3,0.25063492063492065,8.301347942583138,0,0,1073400,1323700,0.8109088161970235,1.233184274268679,13.886342670343586,8517,6879.0,2022,0,4.6,0.1,15.9,2022,0
johor,primary,male,2022,98.7,98.7,0.0,2023,,,,91.8,-5.700000000000003,6.900000000000006,5.700000000000003,95.25,-2.8500000000000014,908.0,170042.0,7373.0,23.062796690627966,187.27092511013217,8.120044052863436,0.002207505518763797,-0.0034810942591246867,-0.04618369987063389,1.59,2138.2,508.5,4028.3,0.23781685529884952,8.301347942583138,0,0,1073400,1323700,0.8109088161970235,1.233184274268679,13.886342670343586,8517,6879.0,2022,0,4.6,0.1,15.9,2022,0
johor,secondary_lower,female,2022,97.6,98.9,-1.3000000000000114,2023,,,,98.4,-2.0,-0.8000000000000114,0.6999999999999886,98.0,-1.6500000000000057,284.0,117254.0,15530.0,7.550160978750805,412.86619718309856,54.683098591549296,0.0,-0.006852273786029493,0.027184337588464846,1.59,1890.0,473.7,4028.3,0.25063492063492065,8.301347942583138,0,0,1073400,1323700,0.8109088161970235,1.233184274268679,13.886342670343586,8517,6879.0,2022,0,4.6,0.1,15.9,2022,0
johor,secondary_lower,male,2022,102.5,99.2,3.299999999999997,2023,,,,97.4,-1.7999999999999972,5.099999999999994,5.099999999999994,99.95,0.75,284.0,121237.0,5746.0,21.09937347720153,426.89084507042253,20.232394366197184,0.0,0.004024811388725559,0.007716590669940372,1.59,2138.2,508.5,4028.3,0.23781685529884952,8.301347942583138,0,0,1073400,1323700,0.8109088161970235,1.233184274268679,13.886342670343586,8517,6879.0,2022,0,4.6,0.1,15.9,2022,0
johor,secondary_upper,female,2022,98.5,99.3,-0.7999999999999972,2023,,,,97.2,-0.7000000000000028,1.2999999999999972,-0.09999999999999432,97.85,-0.75,284.0,117254.0,15530.0,7.550160978750805,412.86619718309856,54.683098591549296,0.0,-0.006852273786029493,0.027184337588464846,1.59,1890.0,473.7,4028.3,0.25063492063492065,8.301347942583138,0,0,1073400,1323700,0.8109088161970235,1.233184274268679,13.886342670343586,8517,6879.0,2022,0,4.6,0.1,15.9,2022,0
johor,secondary_upper,male,2022,97.8,99.1,-1.2999999999999972,2023,,,,96.8,-0.7999999999999972,1.0,-0.5,97.3,-1.0499999999999972,284.0,121237.0,5746.0,21.09937347720153,426.89084507042253,20.232394366197184,0.0,0.004024811388725559,0.007716590669940372,1.59,2138.2,508.5,4028.3,0.23781685529884952,8.301347942583138,0,0,1073400,1323700,0.8109088161970235,1.233184274268679,13.886342670343586,8517,6879.0,2022,0,4.6,0.1,15.9,2022,0
kedah,primary,female,2022,102.4,100.1,2.3000000000000114,2023,,,,99.3,-1.2000000000000028,3.1000000000000085,3.500000000000014,100.85,0.5500000000000043,548.0,92340.0,12350.0,7.476923076923077,168.5036496350365,22.536496350364963,0.0,-0.0039049858686975468,0.0272833139244718,1.83,1061.9,259.7,2163.1,0.24456163480553722,7.679759849619577,0,0,546900,651400,0.8395762972060178,1.1910769793380873,13.212023077821033,5550,4402.0,2022,0,9.0,0.3,11.9,2022,0
kedah,primary,male,2022,99.8,98.7,1.0999999999999943,2023,,,,95.3,-2.200000000000003,4.5,3.299999999999997,97.55,-0.5500000000000043,548.0,96184.0,5087.0,18.90780420680165,175.5182481751825,9.282846715328468,0.0,-0.003718550283293455,0.03901143790849673,1.83,1101.2,278.0,2163.1,0.2524518706865238,7.679759849619577,0,0,546900,651400,0.8395762972060178,1.1910769793380873,13.212023077821033,5550,4402.0,2022,0,9.0,0.3,11.9,2022,0
kedah,secondary_lower,female,2022,99.2,98.9,0.29999999999999716,2023,,,,100.9,0.5,-1.7000000000000028,-0.20000000000000284,100.05000000000001,0.3999999999999986,204.0,72060.0,9666.0,7.454996896337678,353.2352941176471,47.38235294117647,0.0049261083743842365,0.009526478005043429,0.03434991974317817,1.83,1061.9,259.7,2163.1,0.24456163480553722,7.679759849619577,0,0,546900,651400,0.8395762972060178,1.1910769793380873,13.212023077821033,5550,4402.0,2022,0,9.0,0.3,11.9,2022,0
kedah,secondary_lower,male,2022,99.6,99.2,0.3999999999999915,2023,,,,99.7,0.5,-0.10000000000000853,-0.10000000000000853,99.65,0.44999999999999574,204.0,71531.0,4017.0,17.80706995270102,350.6421568627451,19.691176470588236,0.0049261083743842365,0.024271149550375164,-0.0049541738915035915,1.83,1101.2,278.0,2163.1,0.2524518706865238,7.679759849619577,0,0,546900,651400,0.8395762972060178,1.1910769793380873,13.212023077821033,5550,4402.0,2022,0,9.0,0.3,11.9,2022,0
kedah,secondary_upper,female,2022,99.6,99.3,0.29999999999999716,2023,,,,100.0,2.0999999999999943,-0.4000000000000057,-1.7999999999999972,99.8,1.1999999999999957,204.0,72060.0,9666.0,7.454996896337678,353.2352941176471,47.38235294117647,0.0049261083743842365,0.009526478005043429,0.03434991974317817,1.83,1061.9,259.7,2163.1,0.24456163480553722,7.679759849619577,0,0,546900,651400,0.8395762972060178,1.1910769793380873,13.212023077821033,5550,4402.0,2022,0,9.0,0.3,11.9,2022,0
kedah,secondary_upper,male,2022,98.7,99.1,-0.3999999999999915,2023,,,,101.2,3.6000000000000085,-2.5,-4.0,99.95,1.6000000000000085,204.0,71531.0,4017.0,17.80706995270102,350.6421568627451,19.691176470588236,0.0049261083743842365,0.024271149550375164,-0.0049541738915035915,1.83,1101.2,278.0,2163.1,0.2524518706865238,7.679759849619577,0,0,546900,651400,0.8395762972060178,1.1910769793380873,13.212023077821033,5550,4402.0,2022,0,9.0,0.3,11.9,2022,0
kelantan,primary,female,2022,99.2,100.1,-0.8999999999999915,2023,,,,101.8,1.2999999999999972,-2.5999999999999943,-2.1999999999999886,100.5,0.20000000000000284,418.0,84365.0,10663.0,7.911938478852106,201.83014354066987,25.50956937799043,0.0,0.004393066336492214,0.01989478718316595,2.65,912.0,272.3,1830.6,0.2985745614035088,7.51294518078294,0,0,376700,451900,0.8335915025448108,1.199628351473321,12.839207048308943,4885,3614.0,2022,0,13.2,0.8,12.2,2022,0
kelantan,primary,male,2022,97.3,98.7,-1.4000000000000057,2023,,,,98.7,1.2000000000000028,-1.4000000000000057,-2.6000000000000085,98.0,-0.10000000000000142,418.0,87780.0,5701.0,15.39729871952289,210.0,13.638755980861244,0.0,0.002432423173113159,0.0154969718560741,2.65,918.5,288.4,1830.6,0.3139902014153511,7.51294518078294,0,0,376700,451900,0.8335915025448108,1.199628351473321,12.839207048308943,4885,3614.0,2022,0,13.2,0.8,12.2,2022,0
kelantan,secondary_lower,female,2022,98.7,98.9,-0.20000000000000284,2023,,,,112.9,12.5,-14.200000000000003,-12.700000000000003,105.80000000000001,6.149999999999999,178.0,56799.0,8243.0,6.890573820211088,319.09550561797755,46.30898876404494,0.0,0.01446712747146761,0.03490269930947897,2.65,912.0,272.3,1830.6,0.2985745614035088,7.51294518078294,0,0,376700,451900,0.8335915025448108,1.199628351473321,12.839207048308943,4885,3614.0,2022,0,13.2,0.8,12.2,2022,0
kelantan,secondary_lower,male,2022,99.4,99.2,0.20000000000000284,2023,,,,110.5,11.299999999999997,-11.099999999999994,-11.099999999999994,104.95,5.75,178.0,56530.0,4366.0,12.947778286761338,317.5842696629214,24.528089887640448,0.0,0.026250816934136955,-0.015558060879368658,2.65,918.5,288.4,1830.6,0.3139902014153511,7.51294518078294,0,0,376700,451900,0.8335915025448108,1.199628351473321,12.839207048308943,4885,3614.0,2022,0,13.2,0.8,12.2,2022,0
kelantan,secondary_upper,female,2022,98.8,99.3,-0.5,2023,,,,99.6,1.6999999999999886,-0.7999999999999972,-2.1999999999999886,99.19999999999999,0.5999999999999943,178.0,56799.0,8243.0,6.890573820211088,319.09550561797755,46.30898876404494,0.0,0.01446712747146761,0.03490269930947897,2.65,912.0,272.3,1830.6,0.2985745614035088,7.51294518078294,0,0,376700,451900,0.8335915025448108,1.199628351473321,12.839207048308943,4885,3614.0,2022,0,13.2,0.8,12.2,2022,0
kelantan,secondary_upper,male,2022,100.0,99.1,0.9000000000000057,2023,,,,101.1,3.5,-1.0999999999999943,-2.5999999999999943,100.55,2.200000000000003,178.0,56530.0,4366.0,12.947778286761338,317.5842696629214,24.528089887640448,0.0,0.026250816934136955,-0.015558060879368658,2.65,918.5,288.4,1830.6,0.3139902014153511,7.51294518078294,0,0,376700,451900,0.8335915025448108,1.199628351473321,12.839207048308943,4885,3614.0,2022,0,13.2,0.8,12.2,2022,0
melaka,primary,female,2022,100.3,100.1,0.20000000000000284,2023,,,,96.8,-3.700000000000003,3.5,3.9000000000000057,98.55,-1.75,238.0,41858.0,5852.0,7.152768284347232,175.87394957983193,24.58823529411765,0.0,0.009161483195911086,0.01053358659989639,1.66,479.8,121.69999999999999,1008.6,0.25364735306377656,6.917309491786948,0,0,285000,339600,0.8392226148409894,1.191578947368421,12.560247968016562,8057,6210.0,2022,0,4.2,0.1,13.2,2022,0
melaka,primary,male,2022,98.7,98.7,0.0,2023,,,,93.5,-4.0,5.200000000000003,4.0,96.1,-2.0,238.0,44411.0,1990.0,22.317085427135677,186.60084033613447,8.361344537815127,0.0,0.010374246388351724,0.020512820512820513,1.66,528.8,133.8,1008.6,0.25302571860816947,6.917309491786948,0,0,285000,339600,0.8392226148409894,1.191578947368421,12.560247968016562,8057,6210.0,2022,0,4.2,0.1,13.2,2022,0
melaka,secondary_lower,female,2022,99.3,98.9,0.3999999999999915,2023,,,,99.2,-1.2000000000000028,0.09999999999999432,1.5999999999999943,99.25,-0.4000000000000057,78.0,30906.0,4439.0,6.962378914169858,396.2307692307692,56.91025641025641,0.012987012987012988,-0.002453037247433994,0.03136617100371747,1.66,479.8,121.69999999999999,1008.6,0.25364735306377656,6.917309491786948,0,0,285000,339600,0.8392226148409894,1.191578947368421,12.560247968016562,8057,6210.0,2022,0,4.2,0.1,13.2,2022,0
melaka,secondary_lower,male,2022,98.6,99.2,-0.6000000000000085,2023,,,,97.1,-2.1000000000000085,1.5,1.5,97.85,-1.3500000000000085,78.0,31479.0,1654.0,19.03204353083434,403.5769230769231,21.205128205128204,0.012987012987012988,0.0041468627388433444,-0.005411906193625977,1.66,528.8,133.8,1008.6,0.25302571860816947,6.917309491786948,0,0,285000,339600,0.8392226148409894,1.191578947368421,12.560247968016562,8057,6210.0,2022,0,4.2,0.1,13.2,2022,0
melaka,secondary_upper,female,2022,98.3,99.3,-1.0,2023,,,,98.0,0.09999999999999432,0.29999999999999716,-1.0999999999999943,98.15,-0.45000000000000284,78.0,30906.0,4439.0,6.962378914169858,396.2307692307692,56.91025641025641,0.012987012987012988,-0.002453037247433994,0.03136617100371747,1.66,479.8,121.69999999999999,1008.6,0.25364735306377656,6.917309491786948,0,0,285000,339600,0.8392226148409894,1.191578947368421,12.560247968016562,8057,6210.0,2022,0,4.2,0.1,13.2,2022,0
melaka,secondary_upper,male,2022,97.1,99.1,-2.0,2023,,,,98.5,0.9000000000000057,-1.4000000000000057,-2.9000000000000057,97.8,-0.5499999999999972,78.0,31479.0,1654.0,19.03204353083434,403.5769230769231,21.205128205128204,0.012987012987012988,0.0041468627388433444,-0.005411906193625977,1.66,528.8,133.8,1008.6,0.25302571860816947,6.917309491786948,0,0,285000,339600,0.8392226148409894,1.191578947368421,12.560247968016562,8057,6210.0,2022,0,4.2,0.1,13.2,2022,0
negeri sembilan,primary,female,2022,102.7,100.1,2.6000000000000085,2023,,,,102.9,2.4000000000000057,-0.20000000000000284,0.20000000000000284,102.80000000000001,2.500000000000007,353.0,52736.0,7313.0,7.211267605633803,149.39376770538243,20.71671388101983,0.002840909090909091,0.009823257951477319,0.004670971287264734,1.72,582.7,147.7,1207.9,0.253475201647503,7.097466134207946,0,0,334000,410900,0.8128498418106596,1.2302395209580839,12.718899265966332,6788,5226.0,2022,0,4.4,0.1,13.3,2022,0
negeri sembilan,primary,male,2022,100.6,98.7,1.8999999999999915,2023,,,,102.8,5.299999999999997,-2.200000000000003,-3.4000000000000057,101.69999999999999,3.5999999999999943,353.0,56120.0,2307.0,24.32596445600347,158.9801699716714,6.5354107648725215,0.002840909090909091,0.013398822637148327,0.0013020833333333333,1.72,625.1,166.6,1207.9,0.2665173572228443,7.097466134207946,0,0,334000,410900,0.8128498418106596,1.2302395209580839,12.718899265966332,6788,5226.0,2022,0,4.4,0.1,13.3,2022,0
negeri sembilan,secondary_lower,female,2022,99.8,98.9,0.8999999999999915,2023,,,,99.6,-0.8000000000000114,0.20000000000000284,1.7000000000000028,99.69999999999999,0.04999999999999005,126.0,41088.0,5928.0,6.931174089068826,326.0952380952381,47.04761904761905,0.008,0.008888670628099985,0.035277680754453374,1.72,582.7,147.7,1207.9,0.253475201647503,7.097466134207946,0,0,334000,410900,0.8128498418106596,1.2302395209580839,12.718899265966332,6788,5226.0,2022,0,4.4,0.1,13.3,2022,0
negeri sembilan,secondary_lower,male,2022,99.9,99.2,0.7000000000000028,2023,,,,98.3,-0.9000000000000057,1.6000000000000085,1.6000000000000085,99.1,-0.10000000000000142,126.0,42483.0,2059.0,20.63283147158815,337.1666666666667,16.341269841269842,0.008,0.013914081145584725,0.0,1.72,625.1,166.6,1207.9,0.2665173572228443,7.097466134207946,0,0,334000,410900,0.8128498418106596,1.2302395209580839,12.718899265966332,6788,5226.0,2022,0,4.4,0.1,13.3,2022,0
