state,stage,sex,year,completion_rate,malaysia_completion_rate,completion_gap_from_malaysia,target_year,next_year_completion_rate,next_year_completion_gap_from_malaysia,target_delta,lag1_completion_rate,lag1_completion_gap_from_malaysia,completion_rate_change_1y,gap_change_1y,rolling2_completion_mean,rolling2_gap_mean,schools_total,students_total,teachers_total,students_per_teacher,students_per_school,teachers_per_school,schools_growth_1y,students_growth_1y,teachers_growth_1y,tfr,same_sex_total_population,same_sex_school_age_population,total_state_population,same_sex_school_age_share,log_population_total,is_federal_territory,is_small_population_state,households,living_quarters,households_per_living_quarter,living_quarters_per_household,log_households,income_mean,income_median,income_year_used,income_data_age,poverty_absolute,poverty_hardcore,poverty_relative,poverty_year_used,poverty_data_age
johor,primary,female,2017,99.71,98.83,0.8799999999999955,2018,98.2,-0.3199999999999932,-1.509999999999991,99.48,0.3400000000000034,0.22999999999998977,0.539999999999992,99.595,0.6099999999999994,906.0,158464.0,19343.0,8.192317634286304,174.90507726269317,21.34988962472406,,,,2.12,1744.5,437.6,3697.0,0.25084551447406134,8.21554741194707,0,0,932000,1039099,0.8969308987882771,1.1149130901287554,13.745089166628526,6928,5652.0,2016,1,0.0,0.0,13.5,2016,1
johor,primary,female,2018,98.2,98.52,-0.3199999999999932,2019,98.2,-0.5,0.0,99.71,0.8799999999999955,-1.509999999999991,-1.1999999999999886,98.955,0.28000000000000114,907.0,159275.0,20274.0,7.856121140376837,175.606394707828,22.352811466372657,0.0011037527593818985,0.005117881663974152,0.04813110686036292,2.09,1773.0,439.0,3749.4,0.2476029328821207,8.22961777994264,0,0,949100,1054700,0.8998767422015739,1.1112633020756506,13.763270499747783,6928,5652.0,2016,2,0.0,0.0,13.5,2016,2
johor,primary,female,2019,98.2,98.7,-0.5,2020,98.9,-0.3999999999999915,0.7000000000000028,98.2,-0.3199999999999932,0.0,-0.18000000000000682,98.2,-0.4099999999999966,907.0,161024.0,19797.0,8.133757640046472,177.53472987872107,21.826901874310916,0.0,0.010981007691100298,-0.023527670908552827,2.05,1786.6,437.1,3761.2,0.2446546512929587,8.23275917165892,0,0,966000,1070200,0.90263502149131,1.1078674948240166,13.780920148390807,8013,6427.0,2019,0,3.9,0.2,15.3,2019,0
johor,primary,female,2020,98.9,99.3,-0.3999999999999915,2021,99.7,-0.7999999999999972,0.7999999999999972,98.2,-0.5,0.7000000000000028,0.10000000000000853,98.55000000000001,-0.44999999999999574,906.0,161024.0,19871.0,8.103467364501032,177.73068432671081,21.932671081677704,-0.0011025358324145535,0.0,0.003737940091933121,1.94,1868.4,479.29999999999995,4009.7,0.25652965103832154,8.296721068657186,0,0,1017727,1244935,0.8174940860366204,1.223250439459698,13.833083249821101,7264,5690.0,2020,0,5.9,0.6,13.9,2020,0
johor,primary,male,2017,98.59,97.34,1.25,2018,96.97,0.10999999999999943,-1.6200000000000045,98.67,1.0300000000000011,-0.0799999999999983,0.21999999999999886,98.63,1.1400000000000006,906.0,168245.0,7744.0,21.725852272727273,185.70088300220752,8.54746136865342,,,,2.12,1952.6,474.5,3697.0,0.2430093209054594,8.21554741194707,0,0,932000,1039099,0.8969308987882771,1.1149130901287554,13.745089166628526,6928,5652.0,2016,1,0.0,0.0,13.5,2016,1
johor,primary,male,2018,96.97,96.86,0.10999999999999943,2019,97.2,0.0,0.23000000000000398,98.59,1.25,-1.6200000000000045,-1.1400000000000006,97.78,0.6799999999999997,907.0,168818.0,8037.0,21.005101405997262,186.12789415656007,8.861080485115766,0.0011037527593818985,0.003405747570507296,0.037835743801652895,2.09,1976.4,474.1,3749.4,0.23988059097348716,8.22961777994264,0,0,949100,1054700,0.8998767422015739,1.1112633020756506,13.763270499747783,6928,5652.0,2016,2,0.0,0.0,13.5,2016,2
johor,primary,male,2019,97.2,97.2,0.0,2020,97.6,0.0,0.3999999999999915,96.97,0.10999999999999943,0.23000000000000398,-0.10999999999999943,97.08500000000001,0.054999999999999716,907.0,170106.0,7843.0,21.688894555654723,187.54796030871003,8.647188533627343,0.0,0.0076295181793410655,-0.024138360084608686,2.05,1974.6,469.3,3761.2,0.23766838853438674,8.23275917165892,0,0,966000,1070200,0.90263502149131,1.1078674948240166,13.780920148390807,8013,6427.0,2019,0,3.9,0.2,15.3,2019,0
johor,primary,male,2020,97.6,97.6,0.0,2021,91.8,-5.700000000000003,-5.799999999999997,97.2,0.0,0.3999999999999915,0.0,97.4,0.0,906.0,170166.0,7924.0,21.474760222110046,187.82119205298014,8.746136865342164,-0.0011025358324145535,0.00035272124440055027,0.010327680734412852,1.94,2141.3,518.8,4009.7,0.24228272544715823,8.296721068657186,0,0,1017727,1244935,0.8174940860366204,1.223250439459698,13.833083249821101,7264,5690.0,2020,0,5.9,0.6,13.9,2020,0
johor,secondary_lower,female,2017,100.5709,98.6532,1.9176999999999964,2018,99.4141,1.733000000000004,-1.1567999999999898,96.7463,-0.29809999999999093,3.8245999999999896,2.2157999999999873,98.6586,0.8098000000000027,277.0,132845.0,15239.0,8.717435527265568,479.58483754512633,55.014440433213,,,,2.12,1744.5,437.6,3697.0,0.25084551447406134,8.21554741194707,0,0,932000,1039099,0.8969308987882771,1.1149130901287554,13.745089166628526,6928,5652.0,2016,1,0.0,0.0,13.5,2016,1
johor,secondary_lower,female,2018,99.4141,97.6811,1.733000000000004,2019,96.8,-1.2000000000000028,-2.6141000000000076,100.5709,1.9176999999999964,-1.1567999999999898,-0.18469999999999231,99.9925,1.8253500000000003,280.0,120155.0,15418.0,7.79316383447918,429.125,55.06428571428572,0.010830324909747292,-0.09552485979901389,0.011746177570706739,2.09,1773.0,439.0,3749.4,0.2476029328821207,8.22961777994264,0,0,949100,1054700,0.8998767422015739,1.1112633020756506,13.763270499747783,6928,5652.0,2016,2,0.0,0.0,13.5,2016,2
