state,stage,sex,year,schools_total,students_total,teachers_total,students_per_teacher,students_per_school,teachers_per_school,schools_growth_1y,students_growth_1y,teachers_growth_1y
johor,primary,female,2017,906,158464,19343,8.192317634286304,174.90507726269317,21.34988962472406,,,
johor,primary,female,2018,907,159275,20274,7.856121140376837,175.606394707828,22.352811466372657,0.0011037527593818985,0.005117881663974152,0.04813110686036292
johor,primary,female,2019,907,161024,19797,8.133757640046472,177.53472987872107,21.826901874310916,0.0,0.010981007691100298,-0.023527670908552827
johor,primary,female,2020,906,161024,19871,8.103467364501032,177.73068432671081,21.932671081677704,-0.0011025358324145535,0.0,0.003737940091933121
johor,primary,female,2021,906,161241,19708,8.181499898518368,177.97019867549668,21.752759381898453,0.0,0.00134762519872814,-0.008202908761511751
johor,primary,female,2022,908,161163,19410,8.303091190108193,177.49229074889868,21.376651982378856,0.002207505518763797,-0.0004837479301170298,-0.01512076314187132
johor,primary,male,2017,906,168245,7744,21.725852272727273,185.70088300220752,8.54746136865342,,,
johor,primary,male,2018,907,168818,8037,21.005101405997262,186.12789415656007,8.861080485115766,0.0011037527593818985,0.003405747570507296,0.037835743801652895
johor,primary,male,2019,907,170106,7843,21.688894555654723,187.54796030871003,8.647188533627343,0.0,0.0076295181793410655,-0.024138360084608686
johor,primary,male,2020,906,170166,7924,21.474760222110046,187.82119205298014,8.746136865342164,-0.0011025358324145535,0.00035272124440055027,0.010327680734412852
johor,primary,male,2021,906,170636,7730,22.0745148771022,188.33995584988963,8.532008830022075,0.0,0.0027620088619348167,-0.024482584553255932
johor,primary,male,2022,908,170042,7373,23.062796690627966,187.27092511013217,8.120044052863436,0.002207505518763797,-0.0034810942591246867,-0.04618369987063389
johor,secondary_lower,female,2017,277,132845,15239,8.717435527265568,479.58483754512633,55.014440433213,,,
johor,secondary_lower,female,2018,280,120155,15418,7.79316383447918,429.125,55.06428571428572,0.010830324909747292,-0.09552485979901389,0.011746177570706739
johor,secondary_lower,female,2019,282,117891,15478,7.61668174182711,418.0531914893617,54.88652482269504,0.007142857142857143,-0.018842328658815695,0.0038915553249448697
johor,secondary_lower,female,2020,283,117688,15353,7.665472546082199,415.85865724381625,54.25088339222615,0.0035460992907801418,-0.0017219295790179064,-0.008075978808631605
johor,secondary_lower,female,2021,284,118063,15119,7.808915933593491,415.71478873239437,53.235915492957744,0.0035335689045936395,0.003186391135884712,-0.015241320914479255
johor,secondary_lower,female,2022,284,117254,15530,7.550160978750805,412.86619718309856,54.683098591549296,0.0,-0.006852273786029493,0.027184337588464846
johor,secondary_lower,male,2017,277,129224,6185,20.893128536782537,466.51263537906135,22.32851985559567,,,
johor,secondary_lower,male,2018,280,120079,6167,19.471217772012324,428.85357142857146,22.025,0.010830324909747292,-0.07076858787841268,-0.002910266774454325
johor,secondary_lower,male,2019,282,118598,6051,19.599735580895718,420.56028368794324,21.45744680851064,0.007142857142857143,-0.012333547081504677,-0.018809794065185667
johor,secondary_lower,male,2020,283,119114,5869,20.295450673027773,420.8975265017668,20.738515901060072,0.0035460992907801418,0.004350832223140357,-0.030077673111882332
johor,secondary_lower,male,2021,284,120751,5702,21.176955454226587,425.17957746478874,20.077464788732396,0.0035335689045936395,0.013743136826905318,-0.028454591923666724
