Compared Model,Compared Model Type,SVR Model,Baseline MAE,SVR MAE,MAE Improvement,MAE Improvement Percentage,Baseline RMSE,SVR RMSE,RMSE Improvement,RMSE Improvement Percentage,Baseline R2,SVR R2,R2 Difference,Baseline Median_AE,SVR Median_AE,Median_AE Improvement,SVR Beats Compared Model on MAE,SVR Beats Compared Model on RMSE,SVR Beats Compared Model on R2,SVR Beats Compared Model on Median_AE
historical_state_stage_sex_mean_baseline,Additional rule baseline,selected_svr,2.6012575520833328,2.023946549144871,0.5773110029384618,22.193534910685667,3.2999924892305237,2.73260976914434,0.5673827200861838,17.19345489233169,-0.8968801101490174,-0.3006762586745686,0.5962038514744488,1.9412499999999966,1.5768237097878242,0.36442629021217243,True,True,True,True
training_mean_baseline,Core baseline,selected_svr,2.7124119900173604,2.023946549144871,0.6884654408724895,25.38203795759224,3.304518311952839,2.73260976914434,0.5719085428084991,17.30686559489888,-0.9020866856819207,-0.3006762586745686,0.6014104270073521,2.3038361979166666,1.5768237097878242,0.7270124881288424,True,True,True,True
stage_sex_mean_baseline,Additional rule baseline,selected_svr,2.807619628906252,2.023946549144871,0.7836730797613809,27.912366464921455,3.393252243617668,2.73260976914434,0.6606424744733284,19.469300454038564,-1.0056089995823263,-0.3006762586745686,0.7049327409077577,2.4742398437499986,1.5768237097878242,0.8974161339621745,True,True,True,True
rolling2_completion_mean_baseline,Additional rule baseline,selected_svr,2.9723958333333322,2.023946549144871,0.9484492841884613,31.908579387451315,4.269779341488268,2.73260976914434,1.5371695723439278,36.00114782063034,-2.175593052733878,-0.3006762586745686,1.8749167940593092,1.9499999999999957,1.5768237097878242,0.3731762902121716,True,True,True,True
ridge_autoregressive_plus_categorical_standard_alpha100.0,Ridge benchmark,selected_svr,3.0087263492289793,2.023946549144871,0.9847798000841084,32.73078657806382,3.669697086012381,2.73260976914434,0.9370873168680411,25.53582202846918,-1.345710511217813,-0.3006762586745686,1.0450342525432443,2.6563421244432632,1.5768237097878242,1.079518414655439,True,True,True,True
persistence_baseline,Core baseline,selected_svr,3.0437500000000006,2.023946549144871,1.0198034508551297,33.504836167724996,5.232610088028089,2.73260976914434,2.500000318883749,47.77730954201243,-3.7692570262793357,-0.3006762586745686,3.468580767604767,1.7000000000000028,1.5768237097878242,0.12317629021217869,True,True,True,True
previous_year_trend_baseline,Additional rule baseline,selected_svr,5.638541666666669,2.023946549144871,3.6145951175217976,64.10514156329069,9.529772426453844,2.73260976914434,6.797162657309505,71.32555063372925,-14.819000481393761,-0.3006762586745686,14.518324222719192,3.6499999999999986,1.5768237097878242,2.0731762902121744,True,True,True,True
