state,stage,sex,year,completion_rate,malaysia_completion_rate,completion_gap_from_malaysia,target_year,next_year_completion_rate,next_year_completion_gap_from_malaysia,target_delta
pahang,primary,male,2019,95.2,97.2,-2.0,2020,96.2,-1.3999999999999915,1.0
pahang,primary,male,2020,96.2,97.6,-1.3999999999999915,2021,96.8,-0.7000000000000028,0.5999999999999943
pahang,primary,male,2021,96.8,97.5,-0.7000000000000028,2022,95.1,-3.6000000000000085,-1.7000000000000028
pahang,secondary_lower,female,2016,96.6483,97.0444,-0.3960999999999899,2017,98.1296,-0.5236000000000018,1.4812999999999903
pahang,secondary_lower,female,2017,98.1296,98.6532,-0.5236000000000018,2018,97.0508,-0.6303000000000054,-1.078800000000001
pahang,secondary_lower,female,2018,97.0508,97.6811,-0.6303000000000054,2019,97.5,-0.5,0.4492000000000047
pahang,secondary_lower,female,2019,97.5,98.0,-0.5,2020,97.3,-2.0,-0.20000000000000284
pahang,secondary_lower,female,2020,97.3,99.3,-2.0,2021,100.0,-0.4000000000000057,2.700000000000003
pahang,secondary_lower,female,2021,100.0,100.4,-0.4000000000000057,2022,98.8,-0.10000000000000853,-1.2000000000000028
pahang,secondary_lower,male,2016,96.1076,94.1613,1.946300000000008,2017,97.1421,0.32909999999999684,1.0344999999999942
pahang,secondary_lower,male,2017,97.1421,96.813,0.32909999999999684,2018,92.8984,-2.727000000000004,-4.243700000000004
pahang,secondary_lower,male,2018,92.8984,95.6254,-2.727000000000004,2019,95.3,-0.10000000000000853,2.401600000000002
pahang,secondary_lower,male,2019,95.3,95.4,-0.10000000000000853,2020,94.8,-1.6000000000000085,-0.5
pahang,secondary_lower,male,2020,94.8,96.4,-1.6000000000000085,2021,98.2,-1.0,3.4000000000000057
pahang,secondary_lower,male,2021,98.2,99.2,-1.0,2022,98.6,-0.6000000000000085,0.3999999999999915
pahang,secondary_upper,female,2016,99.5629,99.4922,0.0707000000000022,2017,91.9756,-5.516400000000004,-7.587299999999999
pahang,secondary_upper,female,2017,91.9756,97.492,-5.516400000000004,2018,96.9521,0.43890000000000384,4.9765000000000015
pahang,secondary_upper,female,2018,96.9521,96.5132,0.43890000000000384,2019,96.5,-2.4000000000000057,-0.4521000000000015
pahang,secondary_upper,female,2019,96.5,98.9,-2.4000000000000057,2020,96.9,3.3000000000000114,0.4000000000000057
pahang,secondary_upper,female,2020,96.9,93.6,3.3000000000000114,2021,99.1,1.1999999999999886,2.1999999999999886
pahang,secondary_upper,female,2021,99.1,97.9,1.1999999999999886,2022,99.5,0.20000000000000284,0.4000000000000057
pahang,secondary_upper,male,2016,99.8058,98.9922,0.8136000000000081,2017,89.6342,-5.578399999999988,-10.171599999999998
pahang,secondary_upper,male,2017,89.6342,95.2126,-5.578399999999988,2018,101.3786,6.660800000000009,11.744399999999999
pahang,secondary_upper,male,2018,101.3786,94.7178,6.660800000000009,2019,89.3,-6.799999999999997,-12.078600000000009
pahang,secondary_upper,male,2019,89.3,96.1,-6.799999999999997,2020,98.2,6.200000000000003,8.900000000000006
pahang,secondary_upper,male,2020,98.2,92.0,6.200000000000003,2021,100.2,2.6000000000000085,2.0
pahang,secondary_upper,male,2021,100.2,97.6,2.6000000000000085,2022,100.6,1.5,0.3999999999999915
perak,primary,female,2016,99.28,99.14,0.14000000000000057,2017,99.37,0.5400000000000063,0.09000000000000341
perak,primary,female,2017,99.37,98.83,0.5400000000000063,2018,98.51,-0.009999999999990905,-0.8599999999999994
perak,primary,female,2018,98.51,98.52,-0.009999999999990905,2019,99.3,0.5999999999999943,0.789999999999992
perak,primary,female,2019,99.3,98.7,0.5999999999999943,2020,99.8,0.5,0.5
perak,primary,female,2020,99.8,99.3,0.5,2021,99.7,-0.7999999999999972,-0.09999999999999432
perak,primary,female,2021,99.7,100.5,-0.7999999999999972,2022,100.9,0.8000000000000114,1.2000000000000028
perak,primary,male,2016,98.39,97.64,0.75,2017,98.44,1.0999999999999943,0.04999999999999716
perak,primary,male,2017,98.44,97.34,1.0999999999999943,2018,97.69,0.8299999999999983,-0.75
perak,primary,male,2018,97.69,96.86,0.8299999999999983,2019,98.0,0.7999999999999972,0.3100000000000023
perak,primary,male,2019,98.0,97.2,0.7999999999999972,2020,98.4,0.8000000000000114,0.4000000000000057
perak,primary,male,2020,98.4,97.6,0.8000000000000114,2021,98.0,0.5,-0.4000000000000057
perak,primary,male,2021,98.0,97.5,0.5,2022,99.1,0.3999999999999915,1.0999999999999943
perak,secondary_lower,female,2016,97.142,97.0444,0.09759999999999991,2017,98.1378,-0.5153999999999996,0.9958000000000027
perak,secondary_lower,female,2017,98.1378,98.6532,-0.5153999999999996,2018,97.178,-0.5031000000000034,-0.9598000000000013
perak,secondary_lower,female,2018,97.178,97.6811,-0.5031000000000034,2019,97.7,-0.29999999999999716,0.5220000000000056
perak,secondary_lower,female,2019,97.7,98.0,-0.29999999999999716,2020,98.8,-0.5,1.0999999999999943
perak,secondary_lower,female,2020,98.8,99.3,-0.5,2021,100.2,-0.20000000000000284,1.4000000000000057
