Model Name,Model Type,Row Count,MAE,RMSE,R2,Median_AE,Mean Residual,Max Absolute Error,P90 Absolute Error,Underprediction Percentage,Overprediction Percentage,Within 1pp Percentage,Within 2pp Percentage,Within 5pp Percentage
selected_svr,Final SVR,96,2.023946549144871,2.73260976914434,-0.3006762586745686,1.5768237097878242,1.4923247530654258,8.695205391930514,4.0428463358964635,77.08333333333334,22.916666666666664,33.33333333333333,63.541666666666664,91.66666666666666
historical_state_stage_sex_mean_baseline,Additional rule baseline,96,2.6012575520833328,3.2999924892305237,-0.8968801101490174,1.9412499999999966,2.275711197916666,8.25500000000001,5.7380125000000035,84.375,15.625,26.041666666666668,51.041666666666664,83.33333333333334
training_mean_baseline,Core baseline,96,2.7124119900173604,3.304518311952839,-0.9020866856819207,2.3038361979166666,2.275711197916666,10.00383619791667,5.403836197916668,89.58333333333334,10.416666666666668,12.5,38.54166666666667,86.45833333333334
stage_sex_mean_baseline,Additional rule baseline,96,2.807619628906252,3.393252243617668,-1.0056089995823263,2.4742398437499986,2.2757111979166686,8.631248437500005,5.63093671875,86.45833333333334,13.541666666666666,19.791666666666664,35.41666666666667,86.45833333333334
rolling2_completion_mean_baseline,Additional rule baseline,96,2.9723958333333322,4.269779341488268,-2.175593052733878,1.9499999999999957,2.1140624999999993,14.799999999999983,6.725000000000001,81.25,18.75,27.083333333333332,52.083333333333336,82.29166666666666
ridge_autoregressive_plus_categorical_standard_alpha100.0,Ridge benchmark,96,3.0087263492289793,3.669697086012381,-1.345710511217813,2.6563421244432632,2.615874754783505,10.352694282497481,5.401996831617254,86.45833333333334,13.541666666666666,13.541666666666666,33.33333333333333,85.41666666666666
persistence_baseline,Core baseline,96,3.0437500000000006,5.232610088028089,-3.7692570262793357,1.7000000000000028,1.541666666666666,27.19999999999999,5.850000000000001,70.83333333333334,29.166666666666668,33.33333333333333,53.125,85.41666666666666
previous_year_trend_baseline,Additional rule baseline,96,5.638541666666669,9.529772426453844,-14.819000481393761,3.6499999999999986,0.3968749999999995,51.999999999999986,11.549999999999997,41.66666666666667,58.333333333333336,14.583333333333334,29.166666666666668,64.58333333333334
