state,stage,sex,year,completion_rate,malaysia_completion_rate,completion_gap_from_malaysia,target_year,next_year_completion_rate,next_year_completion_gap_from_malaysia,target_delta
negeri sembilan,primary,both,2017,98.95,98.07,0.8800000000000097,2018,99.24,1.5699999999999932,0.28999999999999204
negeri sembilan,primary,both,2018,99.24,97.67,1.5699999999999932,2019,98.9,0.9000000000000057,-0.3399999999999892
negeri sembilan,primary,both,2019,98.9,98.0,0.9000000000000057,2020,100.1,1.6999999999999886,1.1999999999999886
negeri sembilan,primary,both,2020,100.1,98.4,1.6999999999999886,2021,102.9,3.9000000000000057,2.8000000000000114
negeri sembilan,primary,both,2021,102.9,99.0,3.9000000000000057,2022,101.6,2.299999999999997,-1.3000000000000114
negeri sembilan,primary,both,2022,101.6,99.3,2.299999999999997,2023,,,
negeri sembilan,secondary_lower,both,2016,97.3067,95.582,1.7247000000000128,2017,99.5664,1.841300000000004,2.259699999999995
negeri sembilan,secondary_lower,both,2017,99.5664,97.7251,1.841300000000004,2018,97.1165,0.4788000000000068,-2.4498999999999995
negeri sembilan,secondary_lower,both,2018,97.1165,96.6377,0.4788000000000068,2019,96.9,0.20000000000000284,-0.21649999999999636
negeri sembilan,secondary_lower,both,2019,96.9,96.7,0.20000000000000284,2020,98.2,0.4000000000000057,1.2999999999999972
negeri sembilan,secondary_lower,both,2020,98.2,97.8,0.4000000000000057,2021,98.9,-0.8999999999999915,0.7000000000000028
negeri sembilan,secondary_lower,both,2021,98.9,99.8,-0.8999999999999915,2022,99.9,0.9000000000000057,1.0
negeri sembilan,secondary_lower,both,2022,99.9,99.0,0.9000000000000057,2023,,,
negeri sembilan,secondary_upper,both,2016,100.1393,99.2484,0.890900000000002,2017,96.707,0.3263999999999925,-3.432300000000012
negeri sembilan,secondary_upper,both,2017,96.707,96.3806,0.3263999999999925,2018,96.7493,1.1186000000000007,0.04230000000001155
negeri sembilan,secondary_upper,both,2018,96.7493,95.6307,1.1186000000000007,2019,96.9,-0.5999999999999943,0.1507000000000005
negeri sembilan,secondary_upper,both,2019,96.9,97.5,-0.5999999999999943,2020,93.3,0.5,-3.6000000000000085
negeri sembilan,secondary_upper,both,2020,93.3,92.8,0.5,2021,98.6,0.7999999999999972,5.299999999999997
negeri sembilan,secondary_upper,both,2021,98.6,97.8,0.7999999999999972,2022,100.4,1.2000000000000028,1.8000000000000114
negeri sembilan,secondary_upper,both,2022,100.4,99.2,1.2000000000000028,2023,,,
pahang,primary,both,2016,97.72,98.37,-0.6500000000000057,2017,97.57,-0.5,-0.15000000000000568
pahang,primary,both,2017,97.57,98.07,-0.5,2018,97.13,-0.5400000000000063,-0.4399999999999977
pahang,primary,both,2018,97.13,97.67,-0.5400000000000063,2019,96.3,-1.7000000000000028,-0.8299999999999983
pahang,primary,both,2019,96.3,98.0,-1.7000000000000028,2020,97.0,-1.4000000000000057,0.7000000000000028
pahang,primary,both,2020,97.0,98.4,-1.4000000000000057,2021,97.3,-1.7000000000000028,0.29999999999999716
pahang,primary,both,2021,97.3,99.0,-1.7000000000000028,2022,96.5,-2.799999999999997,-0.7999999999999972
pahang,primary,both,2022,96.5,99.3,-2.799999999999997,2023,,,
pahang,secondary_lower,both,2016,96.3753,95.582,0.7933000000000021,2017,97.636,-0.08910000000000196,1.2607
pahang,secondary_lower,both,2017,97.636,97.7251,-0.08910000000000196,2018,94.9303,-1.7073999999999927,-2.705699999999993
pahang,secondary_lower,both,2018,94.9303,96.6377,-1.7073999999999927,2019,96.4,-0.29999999999999716,1.4697000000000031
pahang,secondary_lower,both,2019,96.4,96.7,-0.29999999999999716,2020,96.0,-1.7999999999999972,-0.4000000000000057
pahang,secondary_lower,both,2020,96.0,97.8,-1.7999999999999972,2021,99.1,-0.7000000000000028,3.0999999999999943
pahang,secondary_lower,both,2021,99.1,99.8,-0.7000000000000028,2022,98.7,-0.29999999999999716,-0.3999999999999915
pahang,secondary_lower,both,2022,98.7,99.0,-0.29999999999999716,2023,,,
pahang,secondary_upper,both,2016,99.6813,99.2484,0.4328999999999894,2017,90.8114,-5.569199999999995,-8.869899999999987
pahang,secondary_upper,both,2017,90.8114,96.3806,-5.569199999999995,2018,99.1357,3.5049999999999955,8.324299999999994
pahang,secondary_upper,both,2018,99.1357,95.6307,3.5049999999999955,2019,92.9,-4.599999999999994,-6.235699999999994
pahang,secondary_upper,both,2019,92.9,97.5,-4.599999999999994,2020,97.5,4.700000000000003,4.599999999999994
pahang,secondary_upper,both,2020,97.5,92.8,4.700000000000003,2021,99.6,1.7999999999999972,2.0999999999999943
pahang,secondary_upper,both,2021,99.6,97.8,1.7999999999999972,2022,100.0,0.7999999999999972,0.4000000000000057
pahang,secondary_upper,both,2022,100.0,99.2,0.7999999999999972,2023,,,
perak,primary,both,2016,98.83,98.37,0.45999999999999375,2017,98.9,0.8300000000000125,0.07000000000000739
perak,primary,both,2017,98.9,98.07,0.8300000000000125,2018,98.09,0.4200000000000017,-0.8100000000000023
perak,primary,both,2018,98.09,97.67,0.4200000000000017,2019,98.6,0.5999999999999943,0.5099999999999909
perak,primary,both,2019,98.6,98.0,0.5999999999999943,2020,99.1,0.6999999999999886,0.5
perak,primary,both,2020,99.1,98.4,0.6999999999999886,2021,98.8,-0.20000000000000284,-0.29999999999999716
perak,primary,both,2021,98.8,99.0,-0.20000000000000284,2022,99.9,0.6000000000000085,1.1000000000000085
perak,primary,both,2022,99.9,99.3,0.6000000000000085,2023,,,
perak,secondary_lower,both,2016,94.9094,95.582,-0.6725999999999885,2017,96.7561,-0.9689999999999941,1.8466999999999985
perak,secondary_lower,both,2017,96.7561,97.7251,-0.9689999999999941,2018,95.9696,-0.6680999999999955,-0.7865000000000038
perak,secondary_lower,both,2018,95.9696,96.6377,-0.6680999999999955,2019,96.9,0.20000000000000284,0.9304000000000059
perak,secondary_lower,both,2019,96.9,96.7,0.20000000000000284,2020,97.1,-0.7000000000000028,0.19999999999998863
