overall_rank,model_key,model_name,mae,rmse,r2,median_absolute_error,mae_rank,rmse_rank,r2_rank,median_ae_rank
1,svr,Support Vector Regression,2.023946549144871,2.73260976914434,-0.3006762586745686,1.5768237097878242,1,1,1,1
2,rf,RandomForestRegressor,3.179469333608646,3.849186402161396,-1.580785236848035,2.7302460331631764,2,2,2,2
