model_key,model_name,sex,row_count,mae,rmse,median_absolute_error
svr,Support Vector Regression,male,48,2.283820744292681,2.8479800195530096,1.8957660954430933
svr,Support Vector Regression,female,48,1.7640723539970609,2.6121489446570623,1.2553673002373245
rf,RandomForestRegressor,male,48,3.399623603472504,3.9988088790906784,3.0293999855662506
rf,RandomForestRegressor,female,48,2.959315063744788,3.6935077454465866,2.462466085439381
