model_key,model_name,source_type,feature,importance
rf,RandomForestRegressor,permutation_importance,schools_growth_1y,-0.0004551974858204
rf,RandomForestRegressor,permutation_importance,teachers_per_school,-0.0049920159967443
rf,RandomForestRegressor,permutation_importance,rolling2_gap_mean,-0.0142935629830426
rf,RandomForestRegressor,permutation_importance,students_per_teacher,-0.0178607675771283
rf,RandomForestRegressor,permutation_importance,gap_change_1y,-0.0187789277625255
rf,RandomForestRegressor,permutation_importance,sex,-0.0245051014806118
rf,RandomForestRegressor,permutation_importance,students_growth_1y,-0.0255724854625899
rf,RandomForestRegressor,permutation_importance,completion_rate,-0.0523113458640428
rf,RandomForestRegressor,permutation_importance,state,-0.0541003604382092
rf,RandomForestRegressor,permutation_importance,rolling2_completion_mean,-0.0772658644212907
rf,RandomForestRegressor,permutation_importance,completion_rate_change_1y,-0.1062750987374702
rf,RandomForestRegressor,permutation_importance,completion_gap_from_malaysia,-0.1433910077019411
rf,RandomForestRegressor,permutation_importance,stage,-0.1581906303152238
