state,stage,sex,input_year,target_year,svr_forecast_prediction,rf_forecast_prediction,forecast_prediction_difference_svr_minus_rf,absolute_forecast_prediction_difference,evaluation_status
johor,primary,female,2022,2023,99.92419258533698,98.82527725789978,1.0989153274371972,1.0989153274371972,Non-evaluable without actual next-year target
johor,primary,male,2022,2023,97.32240657063006,95.66295730806624,1.6594492625638253,1.6594492625638253,Non-evaluable without actual next-year target
johor,secondary_lower,female,2022,2023,98.86948980814752,97.67541809026808,1.1940717178794387,1.1940717178794387,Non-evaluable without actual next-year target
johor,secondary_lower,male,2022,2023,98.18429564898548,98.72375000587472,-0.5394543568892374,0.5394543568892374,Non-evaluable without actual next-year target
johor,secondary_upper,female,2022,2023,98.592982522582,96.38213885398494,2.2108436685970645,2.2108436685970645,Non-evaluable without actual next-year target
johor,secondary_upper,male,2022,2023,96.6386194991444,95.2347101432776,1.4039093558668014,1.4039093558668014,Non-evaluable without actual next-year target
kedah,primary,female,2022,2023,100.5264627283278,100.28996563975008,0.23649708857772112,0.23649708857772112,Non-evaluable without actual next-year target
kedah,primary,male,2022,2023,98.01543550403026,96.68082145748411,1.3346140465461502,1.3346140465461502,Non-evaluable without actual next-year target
kedah,secondary_lower,female,2022,2023,99.66524187995272,98.38298966299531,1.2822522169574029,1.2822522169574029,Non-evaluable without actual next-year target
kedah,secondary_lower,male,2022,2023,98.3500903925392,98.57320144671584,-0.22311105417664123,0.22311105417664123,Non-evaluable without actual next-year target
kedah,secondary_upper,female,2022,2023,99.2948059085568,97.49361251117315,1.801193397383642,1.801193397383642,Non-evaluable without actual next-year target
kedah,secondary_upper,male,2022,2023,98.0975005603806,96.8465987250279,1.2509018353526926,1.2509018353526926,Non-evaluable without actual next-year target
kelantan,primary,female,2022,2023,100.55603270939947,101.34834868657526,-0.7923159771757895,0.7923159771757895,Non-evaluable without actual next-year target
kelantan,primary,male,2022,2023,98.9451489216974,97.21087872167703,1.7342702000203616,1.7342702000203616,Non-evaluable without actual next-year target
kelantan,secondary_lower,female,2022,2023,100.026569893851,100.93865459340836,-0.9120846995573544,0.9120846995573544,Non-evaluable without actual next-year target
kelantan,secondary_lower,male,2022,2023,99.66739315314436,102.01066263089598,-2.343269477751619,2.343269477751619,Non-evaluable without actual next-year target
kelantan,secondary_upper,female,2022,2023,99.69714852808326,98.69242836612491,1.0047201619583461,1.0047201619583461,Non-evaluable without actual next-year target
kelantan,secondary_upper,male,2022,2023,99.42575410937764,97.92721572089576,1.498538388481876,1.498538388481876,Non-evaluable without actual next-year target
melaka,primary,female,2022,2023,99.07038954247562,98.34080170635104,0.7295878361245798,0.7295878361245798,Non-evaluable without actual next-year target
melaka,primary,male,2022,2023,96.97662944298185,95.54246636103557,1.4341630819462807,1.4341630819462807,Non-evaluable without actual next-year target
melaka,secondary_lower,female,2022,2023,99.27516828935208,98.68005589583728,0.5951123935147962,0.5951123935147962,Non-evaluable without actual next-year target
melaka,secondary_lower,male,2022,2023,97.38685859826468,97.63103416908712,-0.2441755708224349,0.2441755708224349,Non-evaluable without actual next-year target
melaka,secondary_upper,female,2022,2023,98.47645862524568,96.42391553790128,2.0525430873444037,2.0525430873444037,Non-evaluable without actual next-year target
melaka,secondary_upper,male,2022,2023,97.0321743954118,94.60801857663856,2.4241558187732437,2.4241558187732437,Non-evaluable without actual next-year target
negeri_sembilan,primary,female,2022,2023,101.17212231100191,101.37565317461411,-0.20353086361220107,0.20353086361220107,Non-evaluable without actual next-year target
negeri_sembilan,primary,male,2022,2023,99.651159102049,99.82609140968825,-0.17493230763925283,0.17493230763925283,Non-evaluable without actual next-year target
negeri_sembilan,secondary_lower,female,2022,2023,99.68780420001856,98.93697904631294,0.7508251537056196,0.7508251537056196,Non-evaluable without actual next-year target
negeri_sembilan,secondary_lower,male,2022,2023,98.2567868205312,98.22100000239804,0.03578681813316109,0.03578681813316109,Non-evaluable without actual next-year target
negeri_sembilan,secondary_upper,female,2022,2023,99.20409906405898,96.03529256507387,3.1688064989851057,3.1688064989851057,Non-evaluable without actual next-year target
negeri_sembilan,secondary_upper,male,2022,2023,98.37789064463792,96.66311984285431,1.714770801783601,1.714770801783601,Non-evaluable without actual next-year target
pahang,primary,female,2022,2023,99.05270271962551,97.0921916397106,1.9605110799149088,1.9605110799149088,Non-evaluable without actual next-year target
pahang,primary,male,2022,2023,97.14638777110474,94.97348059819912,2.1729071729056244,2.1729071729056244,Non-evaluable without actual next-year target
pahang,secondary_lower,female,2022,2023,99.66038721614544,98.22662627122828,1.4337609449171538,1.4337609449171538,Non-evaluable without actual next-year target
